flight_id,subseq_id,window_idx,t_end,err_Latitude,err_Longitude,err_AltB,err_BaroA,err_OAT,err_GndSpd,err_VSpd,err_Pitch,err_Roll,err_LatAc,err_NormAc,err_HDG,err_TRK,err_volt1,err_volt2,err_amp1,err_amp2,err_FQtyL,err_FQtyR,err_E1_FFlow,err_E1_OilT,err_E1_OilP,err_E1_RPM,err_E1_CHT2,err_E1_CHT4,err_E1_EGT2,err_E1_EGT4,err_TAS,err_CRS,err_NAV1,err_NAV2,err_COM1,err_COM2,err_MagVar,err_VSpdG,err_HAL,err_HPLfd
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,0,-1,-1.2999999995599865e-05,8.000000008223651e-06,0.0,0.0,0.0,-4.34678e-15,0.0,0.0,0.0,0.0,1.0849799999999998e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.35493e-15,0.0,0.0,0.0,0.0,0.0,0.0,-1.81956e-16,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,1,0,-1.2999999995599865e-05,8.000000008223651e-06,-9.0,0.0,0.0,-4.34678e-15,-138.26,-0.029999999999999805,0.11000000000000004,0.01,0.01,0.10000000000002274,0.0,0.0,0.0,0.10000000000000053,0.10000000000000003,0.0,0.0,0.020000000000000018,-0.04000000000000625,0.18999999999999773,12.799999999999955,-0.730000000000004,-0.7000000000000028,-2.019999999999982,-16.75,-3.35493e-15,0.0,0.0,0.0,0.0,0.0,0.0,-3.9,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,2,1,-5.39999999915608e-06,8.000000008223651e-06,1.0,0.0,0.0,-4.34678e-15,-36.83999999999999,0.1299999999999999,-0.10000000000000003,-0.02,-0.02,-0.10000000000002274,0.0,0.0,0.0,0.09999999999999964,-0.10000000000000003,0.0,0.0,0.29000000000000004,-0.04999999999999716,1.4200000000000017,64.30000000000018,-0.75,-0.6899999999999977,-2.2100000000000364,-12.980000000000018,-3.35493e-15,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,3,2,-5.39999999915608e-06,8.000000008223651e-06,8.0,0.0,0.0,-4.34678e-15,206.91,-0.10999999999999988,-0.12,0.01,0.02,-0.09999999999999432,0.0,0.0,0.0,0.10000000000000053,0.10000000000000003,0.0,0.0,0.08999999999999986,-0.03999999999999915,2.3299999999999983,101.0,-0.7599999999999909,-0.6799999999999926,3.6400000000001,5.5499999999999545,-3.35493e-15,0.0,0.0,0.0,0.0,0.0,0.0,-1.81956e-16,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,4,3,-5.39999999915608e-06,8.000000008223651e-06,4.0,0.0,0.0,-4.34678e-15,126.31,-0.1200000000000001,0.09999999999999998,-0.019999999999999997,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029999999999999805,-0.03999999999999915,0.7199999999999989,32.899999999999864,-0.7600000000000051,-0.730000000000004,-1.1800000000000637,13.019999999999982,-3.35493e-15,0.0,0.0,0.0,0.0,0.0,0.0,-1.81956e-16,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,5,4,-5.39999999915608e-06,8.000000008223651e-06,-3.0,0.0,0.0,-4.34678e-15,-51.19,0.08000000000000007,0.07,0.019999999999999997,0.01,0.09999999999999432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07999999999999985,-0.03999999999999915,0.05000000000001137,0.40000000000009095,-0.7900000000000063,-0.7399999999999949,-3.3799999999999955,11.259999999999991,-3.35493e-15,0.0,0.0,0.0,0.0,0.0,0.0,-1.81956e-16,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,6,5,-5.39999999915608e-06,8.000000008223651e-06,-1.0,0.0,0.0,-4.34678e-15,-105.21000000000001,-0.08999999999999986,0.020000000000000018,0.01,-0.04,0.10000000000002274,0.0,0.0,0.0,0.09999999999999964,0.0,0.0,0.0,-0.019999999999999796,-0.03999999999999915,-0.13000000000000966,-3.900000000000091,-0.769999999999996,-0.7200000000000131,-2.3199999999999363,9.13000000000011,-3.35493e-15,0.0,0.0,0.0,0.0,0.0,0.0,-1.81956e-16,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,7,6,-5.39999999915608e-06,8.000000008223651e-06,-1.0,0.0,0.0,-4.34678e-15,-26.619999999999997,0.040000000000000036,-0.18000000000000005,-0.02,0.07,-0.20000000000001705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999787,-0.05000000000000426,0.030000000000001137,-1.6999999999999318,-0.7999999999999972,-0.75,-2.340000000000032,8.049999999999955,-3.35493e-15,0.0,0.0,0.0,0.0,0.0,0.0,-1.81956e-16,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,8,7,-1.2999999995599865e-05,8.000000008223651e-06,-5.0,0.0,0.0,-4.34678e-15,-107.49,0.0,0.17000000000000004,0.01,-0.009999999999999998,0.09999999999999432,0.0,0.0,0.0,0.09999999999999964,0.0,0.0,0.0,0.020000000000000018,-0.03999999999999915,-0.060000000000002274,-3.6000000000000227,-0.6899999999999977,-0.7799999999999869,-1.0900000000000318,6.580000000000155,-3.35493e-15,0.0,0.0,0.0,0.0,0.0,0.0,-1.81956e-16,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,9,8,-1.2999999995599865e-05,8.000000008223651e-06,2.0,0.0,0.0,-4.34678e-15,33.03,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03999999999999915,-0.3199999999999932,-12.5,-0.7400000000000091,-0.710000000000008,-1.2899999999999636,5.5,-3.35493e-15,0.0,0.0,0.0,0.0,0.0,0.0,-1.81956e-16,0.0,0.0
