flight_id,subseq_id,window_idx,start_idx,end_idx,mae_Latitude,mae_Longitude,mae_AltB,mae_BaroA,mae_OAT,mae_GndSpd,mae_VSpd,mae_Pitch,mae_Roll,mae_LatAc,mae_NormAc,mae_HDG,mae_TRK,mae_volt1,mae_volt2,mae_amp1,mae_amp2,mae_FQtyL,mae_FQtyR,mae_E1_FFlow,mae_E1_OilT,mae_E1_OilP,mae_E1_RPM,mae_E1_CHT2,mae_E1_CHT4,mae_E1_EGT2,mae_E1_EGT4,mae_TAS,mae_CRS,mae_NAV1,mae_NAV2,mae_COM1,mae_COM2,mae_MagVar,mae_VSpdG,mae_HAL,mae_HPLfd
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,0,0,29,3.1100000001060835e-05,5.800000010935946e-06,0.0,0.0,0.0,4.34678e-15,3.7300000000000004,0.029999999999999805,0.010000000000000009,0.03,0.05,0.0,0.0,0.0,0.0,0.09999999999999964,0.10000000000000003,0.0,0.0,0.08000000000000007,0.04000000000000625,0.11999999999999744,5.2000000000000455,0.7000000000000028,0.9699999999999989,3.92999999999995,0.12000000000000455,3.35493e-15,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,1,5,34,2.350000000461705e-05,1.3400000000274304e-05,1.0,0.0,0.0,4.34678e-15,3.34,0.0,0.0,0.01,1.0849799999999998e-20,0.0,0.0,0.0,0.0,0.10000000000000009,0.10000000000000003,0.0,0.0,0.010000000000000009,0.04000000000000625,0.030000000000001137,0.8999999999999773,0.6700000000000017,0.9500000000000028,3.2799999999999727,0.009999999999990905,3.35493e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,2,10,39,2.350000000461705e-05,5.800000010935946e-06,0.0,0.0,0.0,4.34678e-15,2.58,0.029999999999999805,0.010000000000000009,0.0,0.01,0.0,0.0,0.0,0.0,0.10000000000000009,0.0,0.0,0.0,0.010000000000000009,0.04000000000000625,0.0800000000000054,0.8000000000000682,0.6000000000000085,0.9699999999999989,4.180000000000064,0.009999999999990905,3.35493e-15,0.0,0.0,0.0,0.0,0.0,0.0,1.81956e-16,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,3,15,44,3.1100000001060835e-05,1.3400000000274304e-05,0.0,0.0,0.0,4.34678e-15,11.55,0.03000000000000025,0.040000000000000036,0.04,0.02,0.0,0.0,0.09999999999999787,0.0,0.0,0.0,0.0,0.0,0.040000000000000036,0.04000000000000625,0.14000000000000057,3.8999999999999773,0.6000000000000085,0.9299999999999926,0.9599999999999227,0.2199999999999136,3.35493e-15,0.0,0.0,0.0,0.0,0.0,0.0,1.81956e-16,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,4,20,49,2.350000000461705e-05,1.3400000000274304e-05,0.0,0.0,0.0,4.34678e-15,13.129999999999999,0.009999999999999787,0.0,0.02,0.0,0.10000000000002274,0.0,0.09999999999999787,0.0,0.0,0.0,0.0,0.0,0.030000000000000027,0.03999999999999204,0.030000000000001137,0.5,0.5499999999999972,0.9099999999999966,10.860000000000014,0.5199999999999818,3.35493e-15,0.0,0.0,0.0,0.0,0.0,0.0,1.81956e-16,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,5,25,54,3.490000000283544e-05,1.3400000000274304e-05,1.0,0.0,0.0,4.34678e-15,2.620000000000001,0.020000000000000018,0.020000000000000018,0.0,0.03,0.10000000000002274,0.0,0.0,0.0,0.10000000000000009,0.0,0.019999999999999574,0.0,0.0,0.03999999999999204,0.00999999999999801,2.6000000000000227,0.5,0.8799999999999955,2.7799999999999727,0.2899999999999636,3.35493e-15,0.0,0.0,0.0,0.0,0.0,0.0,1.81956e-16,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,6,30,59,3.490000000283544e-05,1.3400000000274304e-05,0.0,0.0,0.0,4.34678e-15,1.0699999999999998,0.10000000000000009,0.019999999999999907,0.02,0.060000000000000005,0.0,0.0,0.0,0.0,0.10000000000000009,0.0,0.0,0.0,0.030000000000000027,0.04000000000000625,0.020000000000003126,0.10000000000002274,0.6099999999999994,0.9199999999999875,3.910000000000082,0.4900000000000091,3.35493e-15,0.0,0.0,0.0,0.0,0.0,0.0,1.81956e-16,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,7,35,64,3.490000000283544e-05,5.800000010935946e-06,1.0,0.0,0.0,4.34678e-15,20.24,0.040000000000000036,0.010000000000000009,0.01,0.04,0.0,0.0,0.0,0.0,0.10000000000000009,0.09999999999999998,0.0,0.0,0.040000000000000036,0.03999999999999204,0.07000000000000028,0.10000000000002274,0.46999999999999886,0.8599999999999852,0.7599999999999909,0.15999999999996817,3.35493e-15,0.0,0.0,0.0,0.0,0.0,0.0,1.81956e-16,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,8,40,69,3.490000000283544e-05,1.3400000000274304e-05,1.0,0.0,0.0,4.34678e-15,6.16,0.040000000000000036,0.019999999999999907,0.01,0.0,0.10000000000002274,0.0,0.0,0.0,0.10000000000000009,0.09999999999999998,0.0,0.0,0.020000000000000018,0.030000000000001137,0.00999999999999801,2.300000000000068,0.6199999999999903,0.9200000000000159,6.6299999999999955,0.2300000000000182,3.35493e-15,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,9,45,74,3.490000000283544e-05,1.3400000000274304e-05,1.0,0.0,0.0,4.34678e-15,21.470000000000002,0.010000000000000231,0.029999999999999916,0.0,0.01,0.0,0.0,0.0,0.0,0.19999999999999973,0.0,0.0,0.0,0.010000000000000009,0.04000000000000625,0.04999999999999716,0.10000000000002274,0.46000000000000796,0.8199999999999932,0.12000000000000455,0.010000000000104592,3.35493e-15,0.0,0.0,0.0,0.0,0.0,0.0,1.81956e-16,0.0,0.0
