flight_id,subseq_id,window_idx,top1_feature,top1_contrib,top2_feature,top2_contrib,top3_feature,top3_contrib,top4_feature,top4_contrib,top5_feature,top5_contrib
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,0,E1_RPM,0.2721083179739415,E1_EGT2,0.20565109416107064,VSpdG,0.20408123848045437,VSpd,0.19518538962361406,E1_CHT4,0.050758667006677055
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,1,VSpd,0.305300615297468,E1_EGT2,0.29981617310649306,AltB,0.09140736984954133,E1_CHT4,0.08683700135706451,E1_RPM,0.08226663286458512
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,2,E1_EGT2,0.44373534969393746,VSpd,0.2738844981364453,E1_CHT4,0.10297207875672543,E1_RPM,0.08492542577874995,E1_CHT2,0.06369406933405794
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,3,VSpd,0.62063258332315,E1_RPM,0.20956424891430916,E1_EGT2,0.05158504588659533,E1_CHT4,0.04997301320264285,E1_CHT2,0.03224065367912513
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,4,VSpd,0.48992469839102143,E1_EGT2,0.4052233225077304,E1_CHT4,0.03395517711620928,E1_CHT2,0.020522359795511074,E1_EGT4,0.019402958352118985
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,5,E1_EGT2,0.2524966214249043,VSpd,0.23796444177455253,E1_RPM,0.23614791931826024,AltB,0.09082612281471468,E1_CHT4,0.07992698807694851
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,6,E1_EGT2,0.5220260054637778,VSpd,0.1428562214440487,E1_CHT4,0.12282964834441404,E1_CHT2,0.08144139727184077,E1_EGT4,0.06542013879213567
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,7,VSpd,0.841928690727247,AltB,0.0415972673284213,E1_CHT4,0.0357736499024417,E1_EGT2,0.03161392316959981,E1_CHT2,0.019550715644357963
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,8,E1_EGT2,0.2987825852101518,VSpd,0.27760191929027694,VSpdG,0.17575446188832466,E1_RPM,0.10365006726747661,AltB,0.04506524663803197
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,9,VSpd,0.882447898435754,AltB,0.04110143914465551,E1_CHT4,0.033703180098617246,E1_CHT2,0.018906662006541865,amp1,0.008220287828931092
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,10,E1_EGT2,0.3495125139624392,VSpd,0.2742702366510812,E1_RPM,0.1456302141510083,E1_CHT4,0.09344605408023342,E1_CHT2,0.05582491542455387
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,11,E1_RPM,0.5066648332155231,VSpd,0.16355496370465877,AltB,0.08888856723079282,E1_EGT2,0.07644416781848304,E1_CHT4,0.06844419676771138
