flight_id,subseq_id,window_idx,top1_feature,top1_contrib,top2_feature,top2_contrib,top3_feature,top3_contrib,top4_feature,top4_contrib,top5_feature,top5_contrib
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,0,VSpd,0.6659434797952521,E1_RPM,0.10845985012952143,HPLfd,0.10168110949642489,VSpdG,0.05287417693814094,AltB,0.013557481266189986
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,1,VSpd,0.8285517330186405,E1_RPM,0.10185024376381564,AltB,0.016975040627302606,E1_CHT4,0.015956538189664412,E1_CHT2,0.012731280470476955
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,2,VSpd,0.4917163709400229,E1_RPM,0.18825282195253554,AltB,0.07530112878101422,E1_CHT4,0.06852402719072268,E1_CHT2,0.0527107901467091
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,3,E1_EGT2,0.2848828509609452,E1_EGT4,0.17005762021648999,E1_CHT4,0.14680187728089322,AltB,0.1453483933474183,VSpd,0.12790658614572847
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,4,E1_RPM,0.7260722859198258,VSpd,0.09867982431364912,AltB,0.03300328572362845,E1_CHT4,0.03069305572297468,E1_EGT2,0.02574256286442929
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,5,VSpd,0.6654993556599406,VSpdG,0.10503632080428037,E1_RPM,0.07271745286450303,E1_EGT2,0.04497709121619381,AltB,0.02693238994981548
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,6,VSpd,0.6463900164078231,E1_EGT2,0.12620162029379792,E1_RPM,0.04544656686479938,COM2,0.044572594425093454,AltB,0.03495889758830844
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,7,VSpd,0.47716131922650395,E1_RPM,0.18464490968032604,AltB,0.09718153141069326,E1_CHT4,0.09232245484015887,E1_CHT2,0.06899888730159161
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,8,VSpd,0.48190280665026863,E1_RPM,0.1340480686092542,E1_EGT2,0.1193027810622344,AltB,0.0670240343046271,E1_EGT4,0.06434307293244444
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,9,VSpd,0.9359633822499678,AltB,0.030349007206548893,E1_CHT4,0.009509355591385297,E1_RPM,0.008093068588414878,E1_CHT2,0.006879108300151151
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,10,VSpd,0.8253827203073745,E1_RPM,0.10242901032061841,AltB,0.029265431520176372,E1_EGT2,0.02097355925612729,E1_CHT4,0.008877180894453744
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,11,VSpdG,0.297709446192714,VSpd,0.26946521668212314,E1_EGT2,0.2206103332043521,E1_EGT4,0.07938918565138763,E1_CHT4,0.04122130793437517
