Inserted Genomes, Total BP Epochs, Time, Best Val. MAE, Best Val. MSE, Enabled Nodes, Enabled Edges, Enabled Rec. Edges,Island_0_best_fitness,Island_0_worst_fitness,Island_1_best_fitness,Island_1_worst_fitness
9,50,81610,28.5751,48.8744,74,1391,0,48.874379,10000000.000000,10000000.000000,10000000.000000
11,100,82727,25.2517,39.1072,74,1368,0,48.874379,10000000.000000,39.107153,10000000.000000
13,150,83368,25.2517,39.1072,74,1368,0,48.874379,10000000.000000,39.107153,10000000.000000
15,200,85442,22.6982,35.624,74,1368,0,35.623984,10000000.000000,39.107153,10000000.000000
17,250,101874,12.3789,20.572,74,1369,0,20.572016,10000000.000000,39.107153,10000000.000000
19,300,102374,12.3789,20.572,74,1369,0,20.572016,10000000.000000,23.477298,10000000.000000
21,350,104369,12.3789,20.572,74,1369,0,20.572016,10000000.000000,23.469955,10000000.000000
23,400,104823,12.3789,20.572,74,1369,0,20.572016,10000000.000000,23.469955,10000000.000000
25,450,173039,12.3789,20.572,74,1369,0,20.572016,10000000.000000,23.469955,10000000.000000
27,500,173909,12.3789,20.572,74,1369,0,20.572016,10000000.000000,23.469955,10000000.000000
29,550,173950,12.3789,20.572,74,1369,0,20.572016,10000000.000000,23.469955,10000000.000000
31,600,193418,12.3789,20.572,74,1369,0,20.572016,10000000.000000,23.469955,10000000.000000
33,650,199975,12.3789,20.572,74,1369,0,20.572016,10000000.000000,23.469955,10000000.000000
35,700,203646,12.3789,20.572,74,1369,0,20.572016,10000000.000000,23.469955,10000000.000000
37,750,222322,12.3789,20.572,74,1369,0,20.572016,10000000.000000,23.469955,10000000.000000
39,800,224535,12.3789,20.572,74,1369,0,20.572016,10000000.000000,23.457418,10000000.000000
41,850,267959,12.3789,20.572,74,1369,0,20.572016,10000000.000000,23.457418,10000000.000000
43,900,268593,12.3789,20.572,74,1369,0,20.572016,10000000.000000,23.457418,10000000.000000
45,950,271968,12.3789,20.572,74,1369,0,20.572016,10000000.000000,23.457418,10000000.000000
47,1000,300129,12.3789,20.572,74,1369,0,20.572016,10000000.000000,23.457418,10000000.000000
49,1050,310186,12.3789,20.572,74,1369,0,20.572016,10000000.000000,23.457418,10000000.000000
51,1100,320836,12.3789,20.572,74,1369,0,20.572016,10000000.000000,23.457418,10000000.000000
52,1150,328869,12.3789,20.572,74,1369,0,20.572016,10000000.000000,23.314612,10000000.000000
53,1200,329627,12.3789,20.572,74,1369,0,20.572016,10000000.000000,23.314612,10000000.000000
54,1250,354223,12.3789,20.572,74,1369,0,20.572016,10000000.000000,23.314612,10000000.000000
55,1300,360283,12.3789,20.572,74,1369,0,20.572016,10000000.000000,23.314612,10000000.000000
56,1350,369262,12.3789,20.572,74,1369,0,20.572016,10000000.000000,23.314612,10000000.000000
57,1400,373434,12.3789,20.572,74,1369,0,20.572016,10000000.000000,23.314612,41.659136
58,1450,375378,12.3789,20.572,74,1369,0,20.572016,49.167815,23.314612,41.659136
