window_idx,dbscan_label
0,-1
1,-1
2,-1
3,-1
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,-1
31,-1
32,0
33,0
34,0
35,0
36,-1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,2
46,2
47,2
48,2
49,-1
50,-1
51,-1
52,-1
53,3
54,3
55,3
56,3
57,3
58,3
59,3
60,-1
61,-1
62,-1
63,-1
64,-1
65,4
66,4
67,4
68,4
69,4
70,4
71,4
72,4
73,4
74,4
75,4
76,4
77,4
78,4
79,4
80,4
81,4
82,4
83,4
84,4
85,4
86,4
87,4
88,4
89,4
90,4
91,4
92,4
93,4
94,4
95,4
96,4
97,4
98,4
99,4
100,4
101,4
102,4
103,4
104,4
105,4
106,4
107,4
108,4
109,4
110,4
111,4
112,4
113,4
114,4
115,4
116,4
117,4
118,4
119,4
120,4
121,4
122,4
123,4
124,4
125,4
126,4
127,4
128,4
129,4
130,4
131,4
132,4
133,4
134,4
135,4
136,4
137,4
138,4
139,4
140,4
141,4
142,4
143,4
144,4
145,4
146,4
147,4
148,4
149,4
150,4
151,4
152,4
153,4
154,4
155,4
156,4
157,4
158,4
159,4
160,4
161,4
162,4
163,4
164,4
165,4
166,4
167,-1
168,-1
169,-1
170,-1
171,-1
172,-1
173,-1
174,-1
175,-1
176,-1
177,-1
178,-1
179,5
180,5
181,5
182,5
183,5
184,5
185,-1
186,5
187,5
188,5
189,5
190,5
191,5
192,5
193,5
194,5
195,5
196,5
197,5
198,5
199,5
200,5
201,5
202,5
203,5
204,5
205,5
206,5
207,5
208,5
209,5
210,5
211,5
212,5
213,5
214,5
215,5
216,5
217,5
218,5
219,5
220,5
221,5
222,5
223,5
224,5
225,5
226,5
227,5
228,5
229,5
230,5
231,-1
232,-1
233,-1
234,-1
235,-1
236,-1
237,-1
238,-1
239,-1
240,-1
241,-1
242,-1
243,-1
244,-1
245,-1
246,0
247,0
248,0
249,0
250,-1
251,-1
252,-1
253,-1
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,-1
271,-1
272,-1
273,-1
274,-1
275,-1
276,1
277,-1
278,-1
279,2
280,-1
281,-1
282,-1
283,-1
284,3
285,3
286,3
287,3
288,-1
289,-1
290,-1
291,-1
292,-1
293,-1
294,-1
295,6
296,6
297,6
298,6
299,6
300,6
301,6
302,6
303,6
304,6
305,6
306,6
307,6
308,6
309,6
310,6
311,-1
312,-1
313,6
314,6
315,6
316,6
317,6
318,-1
319,6
320,6
321,6
322,-1
323,6
324,6
325,6
326,6
327,6
328,6
329,6
330,6
331,6
332,6
333,6
334,-1
335,-1
336,-1
337,-1
338,-1
339,-1
340,5
341,5
342,5
343,-1
344,5
345,5
346,5
347,-1
348,-1
349,5
350,5
351,5
352,5
353,-1
354,5
355,5
356,-1
357,5
358,-1
359,5
360,5
361,-1
362,5
363,5
364,5
365,5
366,-1
367,5
368,5
369,5
370,5
371,5
372,-1
373,5
374,5
375,5
376,-1
377,-1
378,5
379,-1
380,-1
381,5
382,5
383,5
384,5
385,5
386,5
387,5
388,5
389,5
390,5
391,5
392,5
393,5
394,5
395,5
396,5
397,5
398,5
399,5
400,5
401,5
402,5
403,5
404,5
405,5
406,5
407,5
408,5
409,5
410,5
411,5
412,5
413,5
414,5
415,5
416,5
417,5
418,5
419,5
420,5
421,5
422,5
423,5
424,5
425,5
426,5
427,5
428,5
429,5
430,5
431,5
432,5
433,5
434,5
435,-1
436,5
437,5
438,5
439,-1
440,-1
441,5
442,5
443,5
444,5
445,5
446,5
447,5
448,5
449,5
450,5
451,5
452,5
453,5
454,5
455,5
456,5
457,5
458,5
459,5
460,-1
461,-1
462,-1
463,5
464,5
465,5
466,5
467,5
468,5
469,-1
470,-1
471,-1
472,-1
473,-1
474,-1
475,-1
476,-1
477,-1
478,-1
479,-1
480,-1
481,-1
482,-1
483,-1
484,-1
485,-1
486,-1
487,-1
488,7
489,7
490,-1
491,7
492,-1
493,7
494,-1
495,7
496,-1
497,-1
498,-1
499,-1
500,-1
501,-1
502,-1
503,-1
504,-1
505,-1
506,-1
507,-1
508,-1
509,-1
510,-1
511,-1
512,-1
513,-1
514,-1
515,-1
516,-1
517,-1
518,-1
519,-1
520,-1
521,-1
522,-1
523,-1
524,-1
525,-1
526,-1
527,-1
528,-1
529,-1
530,-1
531,-1
532,-1
533,-1
534,-1
535,-1
536,-1
537,-1
538,-1
539,-1
540,-1
541,7
542,7
543,7
544,7
545,7
546,7
547,-1
548,-1
549,7
550,-1
551,7
552,-1
553,7
554,-1
555,7
556,7
557,7
558,7
559,7
560,-1
561,-1
562,7
563,-1
564,-1
565,-1
566,7
567,7
568,-1
569,-1
570,-1
571,-1
572,-1
573,-1
574,-1
575,-1
576,-1
577,-1
578,-1
579,-1
580,-1
581,-1
582,-1
583,-1
584,-1
585,-1
586,-1
587,-1
588,-1
589,-1
590,-1
591,-1
592,-1
593,-1
594,-1
595,11
596,-1
597,-1
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,-1
641,-1
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,-1
656,1
657,-1
658,-1
659,-1
660,1
661,1
662,1
663,1
664,-1
665,-1
666,-1
667,-1
668,-1
669,8
670,-1
671,-1
672,-1
673,8
674,-1
675,-1
676,8
677,8
678,8
679,8
680,8
681,8
682,-1
683,-1
684,8
685,-1
686,-1
687,-1
688,-1
689,-1
690,-1
691,-1
692,8
693,8
694,-1
695,-1
696,-1
697,-1
698,-1
699,-1
700,-1
701,-1
702,-1
703,-1
704,-1
705,-1
706,-1
707,-1
708,-1
709,-1
710,-1
711,-1
712,-1
713,-1
714,-1
715,-1
716,-1
717,-1
718,-1
719,-1
720,-1
721,-1
722,-1
723,-1
724,-1
725,-1
726,1
727,-1
728,-1
729,1
730,-1
731,1
732,1
733,1
734,-1
735,-1
736,-1
737,-1
738,-1
739,-1
740,-1
741,-1
742,-1
