AltMSL,E1 RPM,E1 FFlow,E1 CHT1,E1 EGT1,NormAc,IAS,anomaly_flag
3482.2,2499.0,11.76,344.21,1406.07,0.1,68.8,1
3481.5,2504.9,11.85,344.53,1406.09,-0.1,69.27,1
3479.6,2517.2,11.77,344.93,1407.88,0.04,71.73,1
3476.7,2514.8,11.5,345.36,1410.46,-0.04,72.75,1
3472.5,2523.7,11.01,345.75,1412.45,-0.1,77.08,1
3465.0,2526.1,10.66,346.12,1419.43,0.07,78.35,1
3459.5,2513.6,10.24,346.52,1428.66,-0.09,80.7,1
3452.8,2512.6,10.01,346.98,1438.85,0.04,82.56,1
3446.9,2502.9,9.53,347.41,1449.39,0.06,84.68,1
3443.3,2489.0,9.32,347.84,1459.77,0.03,84.88,1
3441.7,2474.0,8.96,348.34,1467.33,0.16,87.07,1
3447.6,2467.9,8.91,349.22,1477.17,0.04,86.52,1
3452.8,2465.9,8.84,349.7,1480.7,-0.07,87.79,1
3456.3,2472.3,8.91,350.17,1484.3,-0.07,89.47,1
3457.3,2461.5,8.86,350.63,1486.34,-0.05,87.94,1
3457.9,2469.4,8.93,351.07,1487.89,-0.04,88.27,1
3455.9,2468.0,8.96,351.52,1489.73,-0.01,89.78,1
3453.5,2478.5,8.88,351.93,1491.06,0.02,91.01,1
3453.0,2480.8,8.86,352.37,1493.16,0.03,91.46,1
3453.5,2486.5,8.92,352.78,1494.57,-0.02,92.36,1
3452.3,2478.0,8.93,353.24,1496.4,-0.04,91.95,1
3448.8,2495.3,8.91,353.66,1498.26,-0.08,92.7,1
3446.0,2495.3,8.97,354.06,1499.48,0.0,93.9,1
3443.2,2494.6,8.94,354.43,1500.23,-0.08,93.61,1
3440.1,2496.3,8.96,354.81,1500.75,-0.07,94.12,1
3437.1,2508.4,9.06,355.21,1501.15,0.01,94.98,1
3434.6,2505.9,9.05,355.53,1502.19,0.04,95.33,1
3435.0,2511.2,9.04,355.9,1502.84,0.05,95.47,1
3434.7,2519.3,9.07,356.23,1502.75,0.03,96.41,1
3435.5,2516.6,9.0,356.55,1503.51,-0.04,97.49,1
