window_stem,path,mean_abs_z,top1_feature,top1_z,top2_feature,top2_z,top3_feature,top3_z
window_13900,exact_data/anomaly/window_13900.csv,2.4772794168598375,E1 CHT1__std,31.391783054347414,E1 CHT1__min,7.68346867265858,E1 CHT1__mean,5.530700473652129
window_6225,exact_data/anomaly/window_6225.csv,1.9792881301225336,E1 CHT1__std,21.105931907989046,E1 CHT1__min,5.028932162527509,E1 CHT1__mean,2.9856066579839653
window_26000,exact_data/anomaly/window_26000.csv,1.934653076458627,E1 CHT1__std,7.34034126892192,E1 EGT1__min,6.984113956264662,E1 EGT1__std,5.202233740870812
window_13925,exact_data/anomaly/window_13925.csv,1.7114762706280917,E1 CHT1__min,7.213342227870481,E1 CHT1__mean,7.127770173553116,E1 CHT1__max,6.860361891424443
window_13950,exact_data/anomaly/window_13950.csv,1.620905648411564,E1 CHT1__min,6.397912770599594,E1 CHT1__mean,6.293034961322973,E1 CHT1__max,6.043309277303951
window_13975,exact_data/anomaly/window_13975.csv,1.5426244304206256,E1 CHT1__min,5.613218731333532,E1 CHT1__mean,5.522095291611432,E1 CHT1__max,5.330371377361437
window_6250,exact_data/anomaly/window_6250.csv,1.4539683640138503,E1 CHT1__min,4.808452582350035,E1 CHT1__mean,4.785674012910552,E1 CHT1__max,4.638256420254517
window_14000,exact_data/anomaly/window_14000.csv,1.4442456332980844,E1 CHT1__min,4.900972463078847,E1 CHT1__mean,4.85339777219931,E1 CHT1__max,4.677919168512792
window_14025,exact_data/anomaly/window_14025.csv,1.3801170961625016,E1 CHT1__min,4.292850263983366,E1 CHT1__mean,4.244404807122506,E1 CHT1__max,4.099173566844112
window_3150,exact_data/anomaly/window_3150.csv,1.3741909225685203,NormAc__mean,14.380735157834769,NormAc__max,7.5169526469174155,NormAc__std,3.2443899091842994
window_14050,exact_data/anomaly/window_14050.csv,1.3049996101671826,E1 CHT1__min,3.7374173528961587,E1 CHT1__mean,3.7003684873112883,E1 CHT1__max,3.5828967936822163
window_9750,exact_data/anomaly/window_9750.csv,1.2637946360401113,IAS__std,4.6922647882448585,E1 EGT1__std,3.209150871131309,E1 EGT1__min,2.625514934739505
window_25725,exact_data/anomaly/window_25725.csv,1.2564660548769147,IAS__std,3.6713664326701205,E1 RPM__max,2.6809782961536404,E1 EGT1__mean,2.6640395448853544
window_75,exact_data/anomaly/window_75.csv,1.2559554228422998,E1 CHT1__min,3.2095835926704277,E1 CHT1__mean,3.1380041063818633,E1 CHT1__max,3.015058447784562
window_14075,exact_data/anomaly/window_14075.csv,1.2460791315799693,E1 CHT1__min,3.2349873565315583,E1 CHT1__mean,3.2130525792613764,E1 CHT1__max,3.1152068871367096
window_6350,exact_data/anomaly/window_6350.csv,1.2295486015087644,E1 CHT1__min,2.7585883774567597,E1 CHT1__mean,2.7549812684367843,E1 CHT1__max,2.707672148782921
window_25750,exact_data/anomaly/window_25750.csv,1.2156399818005552,E1 EGT1__min,2.442177669914622,E1 EGT1__mean,2.2614136714017445,IAS__max,2.1994232076940716
window_9775,exact_data/anomaly/window_9775.csv,1.2153727722138847,IAS__std,5.312215724492744,E1 EGT1__std,3.2805586383029985,E1 EGT1__min,2.625514934739505
window_25850,exact_data/anomaly/window_25850.csv,1.2072466113733422,E1 EGT1__max,3.092321581977651,E1 EGT1__mean,3.0247332861498113,E1 EGT1__min,2.5259016875179854
window_25950,exact_data/anomaly/window_25950.csv,1.2041071671386505,E1 EGT1__mean,2.7709814517204645,E1 EGT1__max,2.682608727601289,E1 RPM__max,2.3952751453211008
window_25975,exact_data/anomaly/window_25975.csv,1.203895464101614,E1 EGT1__max,3.3426970323243355,E1 EGT1__mean,2.9398929501366635,E1 EGT1__min,2.4847730277756033
window_20500,exact_data/anomaly/window_20500.csv,1.2038410323405047,E1 EGT1__max,2.2301671287046854,E1 CHT1__max,2.2032942000985076,E1 CHT1__mean,2.2012003666929743
window_20925,exact_data/anomaly/window_20925.csv,1.2024221578609622,E1 EGT1__max,3.9861269571174627,E1 EGT1__mean,3.3096123108513207,E1 EGT1__min,2.575402749020704
window_13875,exact_data/anomaly/window_13875.csv,1.2001883936046607,E1 EGT1__max,3.90025300857873,E1 EGT1__mean,3.3011197579220455,E1 EGT1__min,2.5813306539167087
window_3050,exact_data/anomaly/window_3050.csv,1.1968644600833511,NormAc__mean,12.715627849149529,NormAc__max,4.322894051819148,NormAc__std,2.7382282887014457
window_6375,exact_data/anomaly/window_6375.csv,1.1920925361948018,E1 CHT1__mean,2.416872489087468,E1 CHT1__max,2.3900396398145594,E1 CHT1__min,2.3722002653960934
window_20750,exact_data/anomaly/window_20750.csv,1.1818404429392,E1 EGT1__max,3.715678158955225,E1 EGT1__mean,3.1312224515561913,E1 EGT1__min,2.5056123635440315
window_20900,exact_data/anomaly/window_20900.csv,1.177596218895747,E1 EGT1__max,3.8381172514401314,E1 EGT1__mean,3.2457416920882998,E1 EGT1__min,2.570819317400082
window_25900,exact_data/anomaly/window_25900.csv,1.177339585593207,E1 EGT1__mean,2.8784101772961472,E1 EGT1__max,2.759653734777165,E1 EGT1__min,2.490150920877133
window_20525,exact_data/anomaly/window_20525.csv,1.1750489154522437,E1 EGT1__max,2.258986125983446,IAS__max,2.1994232076940716,E1 RPM__max,2.0757791486911636
window_20825,exact_data/anomaly/window_20825.csv,1.1697327122309027,E1 EGT1__mean,3.215349598114403,E1 EGT1__min,2.773284770188361,E1 EGT1__max,2.6620356283878386
window_6500,exact_data/anomaly/window_6500.csv,1.1575485830118448,E1 EGT1__max,2.605563720425413,E1 EGT1__mean,2.5638498139819745,E1 RPM__max,2.2601037621315117
window_25875,exact_data/anomaly/window_25875.csv,1.152854674441933,E1 EGT1__min,2.5271850483717597,E1 EGT1__mean,2.439681826011733,E1 EGT1__max,2.25590432569641
window_925,exact_data/anomaly/window_925.csv,1.1512142808948105,E1 EGT1__max,2.591487389384631,E1 RPM__max,2.2051903877107417,IAS__max,2.1994232076940716
window_20550,exact_data/anomaly/window_20550.csv,1.1470199113552482,E1 EGT1__max,2.285472950072016,IAS__max,2.1994232076940716,E1 RPM__max,2.073091081411825
window_6400,exact_data/anomaly/window_6400.csv,1.1412111146145487,IAS__max,2.1994232076940716,E1 RPM__max,2.1546931238203126,E1 CHT1__mean,2.1126310150963024
window_20725,exact_data/anomaly/window_20725.csv,1.1398141291186952,E1 EGT1__max,3.7503275892094576,E1 EGT1__mean,3.1577881502291927,E1 RPM__max,2.4657409090009
window_25925,exact_data/anomaly/window_25925.csv,1.1301010659362998,E1 EGT1__mean,2.6456572692413634,E1 EGT1__max,2.5056134408458983,E1 EGT1__min,2.432460794878904
window_20875,exact_data/anomaly/window_20875.csv,1.1291756560552357,E1 EGT1__max,2.9755463386689183,E1 EGT1__mean,2.9192469673490113,E1 EGT1__min,2.455989077198097
window_1000,exact_data/anomaly/window_1000.csv,1.126110859920388,E1 EGT1__max,2.5071126950395914,IAS__max,2.1994232076940716,E1 RPM__max,2.132036556751603
window_900,exact_data/anomaly/window_900.csv,1.123188073365421,E1 EGT1__max,2.553089823646168,IAS__max,2.1994232076940716,E1 RPM__max,2.196934181067059
window_975,exact_data/anomaly/window_975.csv,1.1218450353320126,E1 EGT1__max,2.4916204017047656,IAS__max,2.1994232076940716,E1 RPM__max,2.1285804702495965
window_6425,exact_data/anomaly/window_6425.csv,1.1215798053855803,IAS__max,2.1994232076940716,E1 RPM__max,2.174085609192683,IAS__mean,2.0599378267948887
window_6200,exact_data/anomaly/window_6200.csv,1.118395951092491,E1 EGT1__max,3.1249720066402924,E1 EGT1__mean,2.5572728927968496,E1 RPM__max,2.2748881321678733
window_850,exact_data/anomaly/window_850.csv,1.1172885722961305,E1 EGT1__max,2.562751684005522,E1 RPM__max,2.2124865703260888,IAS__max,2.1994232076940716
window_20950,exact_data/anomaly/window_20950.csv,1.1137921654523166,E1 EGT1__min,2.562569140482962,E1 EGT1__mean,2.426506076798157,E1 EGT1__max,2.2443267516451173
window_20800,exact_data/anomaly/window_20800.csv,1.112538857651489,E1 EGT1__min,2.6183036689897263,E1 EGT1__mean,2.526038602401764,E1 EGT1__max,2.3981668902979187
window_6175,exact_data/anomaly/window_6175.csv,1.1055369783074085,E1 EGT1__max,2.9628859699221786,E1 EGT1__mean,2.451146407352199,E1 RPM__max,2.2476234497631546
window_6550,exact_data/anomaly/window_6550.csv,1.101411280789447,E1 EGT1__max,2.9221562309935263,E1 EGT1__mean,2.8876207878677635,E1 RPM__max,2.541966816850711
window_13850,exact_data/anomaly/window_13850.csv,1.1003243092935364,E1 EGT1__max,3.274314382712017,E1 EGT1__mean,2.913139826248539,E1 EGT1__min,2.5342129768567134
window_6700,exact_data/anomaly/window_6700.csv,1.0995441278120524,E1 EGT1__mean,3.101755313189379,E1 EGT1__max,2.83903091514323,E1 RPM__max,2.7163071803963734
window_6575,exact_data/anomaly/window_6575.csv,1.0978832936006258,E1 EGT1__max,3.74358094533784,E1 EGT1__mean,3.1245140893111114,E1 RPM__max,2.548110970632056
window_825,exact_data/anomaly/window_825.csv,1.091455439359907,E1 EGT1__max,2.4438108513058974,E1 RPM__max,2.2048063780994074,IAS__max,2.1994232076940716
window_20775,exact_data/anomaly/window_20775.csv,1.0902618893780023,E1 EGT1__mean,2.91451265509695,E1 EGT1__min,2.5174070609144326,E1 EGT1__max,2.3981668902979187
window_6725,exact_data/anomaly/window_6725.csv,1.0873003932074647,E1 EGT1__std,5.251775703295559,E1 RPM__std,2.8804447201196983,E1 EGT1__min,2.7566621915109044
window_20025,exact_data/anomaly/window_20025.csv,1.086264171039541,E1 EGT1__max,2.8856743789470047,E1 EGT1__mean,2.3532495927169106,E1 RPM__max,2.2587597284918424
window_25825,exact_data/anomaly/window_25825.csv,1.0833451784201453,IAS__max,2.1994232076940716,IAS__mean,2.0599378267948887,E1 EGT1__min,2.0478192132762993
window_19950,exact_data/anomaly/window_19950.csv,1.075554564415825,E1 EGT1__max,2.8758459347883516,E1 EGT1__mean,2.32218812297473,E1 RPM__max,2.252999584321832
window_6125,exact_data/anomaly/window_6125.csv,1.0721060671317757,IAS__max,2.1994232076940716,E1 EGT1__min,2.1282431601128144,IAS__mean,2.0599378267948887
window_21125,exact_data/anomaly/window_21125.csv,1.0697501693170566,E1 FFlow__std,4.781562915012214,E1 RPM__std,4.055508450348886,IAS__std,3.6152543788510023
window_800,exact_data/anomaly/window_800.csv,1.065735758650082,E1 EGT1__max,2.217340176158648,E1 RPM__max,2.2048063780994074,IAS__max,2.1994232076940716
window_3075,exact_data/anomaly/window_3075.csv,1.0631476865844343,NormAc__mean,6.667161129566394,NormAc__max,5.068174390675411,NormAc__std,4.856156791498596
window_6525,exact_data/anomaly/window_6525.csv,1.0592332422364432,E1 EGT1__max,2.500199467368674,E1 RPM__max,2.2601037621315117,IAS__max,2.1994232076940716
window_3225,exact_data/anomaly/window_3225.csv,1.0558465206574608,NormAc__mean,8.218414947059483,NormAc__max,4.216425431982539,NormAc__std,3.929991232911967
window_6475,exact_data/anomaly/window_6475.csv,1.0543864088580939,E1 EGT1__std,2.2864269321674846,IAS__max,2.1994232076940716,IAS__mean,2.0599378267948887
window_13825,exact_data/anomaly/window_13825.csv,1.052601456083222,E1 EGT1__max,2.820623405320669,E1 EGT1__mean,2.739710649919835,E1 EGT1__min,2.3259418440156465
window_3125,exact_data/anomaly/window_3125.csv,1.046667012779411,NormAc__mean,6.297137283191897,NormAc__std,4.315200048488984,NormAc__max,4.216425431982539
window_20850,exact_data/anomaly/window_20850.csv,1.0464769548505006,E1 EGT1__max,2.2229207334351697,IAS__max,2.1994232076940716,E1 EGT1__mean,2.1297827521385355
window_400,exact_data/anomaly/window_400.csv,1.042661330291509,E1 EGT1__mean,2.3036695380833767,IAS__max,2.1994232076940716,E1 EGT1__max,2.1319659790178123
window_6600,exact_data/anomaly/window_6600.csv,1.041112560664985,E1 EGT1__mean,2.8947697210730623,E1 EGT1__max,2.6834416465977844,E1 EGT1__min,2.3836930824354847
window_16325,exact_data/anomaly/window_16325.csv,1.0403677323095488,E1 RPM__std,3.6795170582205654,E1 FFlow__std,3.6526026851108684,E1 EGT1__std,3.53590587870327
window_20050,exact_data/anomaly/window_20050.csv,1.0367352371171656,E1 EGT1__max,2.918408095509294,E1 EGT1__mean,2.3663182418075617,E1 RPM__max,2.2597197525201778
window_8250,exact_data/anomaly/window_8250.csv,1.0193463659752138,NormAc__max,7.09107816757098,NormAc__std,4.084038330250252,NormAc__min,2.2234305705705073
window_6150,exact_data/anomaly/window_6150.csv,1.0103200947084066,E1 EGT1__max,2.521438901779322,E1 EGT1__mean,2.3185613233574682,E1 RPM__max,2.2566476756295053
window_6850,exact_data/anomaly/window_6850.csv,1.0089293636675836,IAS__std,5.750888497691143,E1 FFlow__std,3.776302874001616,E1 RPM__std,2.9818874580562764
window_675,exact_data/anomaly/window_675.csv,1.0076107611057707,IAS__max,2.1994232076940716,IAS__mean,2.0599378267948887,E1 EGT1__std,1.9719135221303248
window_6675,exact_data/anomaly/window_6675.csv,1.005079741940399,IAS__max,2.1994232076940716,E1 EGT1__min,2.065480703121096,IAS__mean,2.0599378267948887
window_6625,exact_data/anomaly/window_6625.csv,0.996039657162074,E1 EGT1__max,2.415741481123985,E1 EGT1__mean,2.357375381543257,IAS__max,2.1994232076940716
window_6650,exact_data/anomaly/window_6650.csv,0.9935666054312274,IAS__max,2.1994232076940716,E1 EGT1__min,2.1323376923605704,E1 EGT1__mean,2.0750424188549417
window_6450,exact_data/anomaly/window_6450.csv,0.982574435917233,IAS__max,2.1994232076940716,IAS__mean,2.0599378267948887,IAS__min,1.8677747393789745
window_7100,exact_data/anomaly/window_7100.csv,0.982357059515741,AltMSL__std,3.9026166835075307,NormAc__min,2.4299158548927386,NormAc__mean,2.3984231066088
window_21075,exact_data/anomaly/window_21075.csv,0.9797614825795959,IAS__max,2.1994232076940716,IAS__mean,2.0599378267948887,E1 RPM__max,1.9068149197041777
window_15600,exact_data/anomaly/window_15600.csv,0.9741135832196929,E1 EGT1__std,4.0521972791189835,IAS__std,2.8466516163643325,E1 RPM__std,2.3937231983532516
window_6800,exact_data/anomaly/window_6800.csv,0.9676314481228674,IAS__max,2.1994232076940716,E1 RPM__max,2.18656592156104,IAS__mean,2.0599378267948887
window_425,exact_data/anomaly/window_425.csv,0.9562293372418254,E1 EGT1__mean,2.259437187315024,IAS__max,2.1994232076940716,E1 EGT1__max,2.1319659790178123
window_350,exact_data/anomaly/window_350.csv,0.9509690886321698,IAS__max,2.1994232076940716,IAS__mean,2.0599378267948887,E1 EGT1__std,1.9832587264335695
