#airframe_info, log_version="1.00", airframe_name="Cessna 172S", unit_software_part_number="006-B0319-A3", unit_software_version="12.03", system_software_part_number="006-B0563-26", system_id="2E90B4BED", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,  amps,   gals,   gals,      gph,   deg F,     psi,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  amp2,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2017-05-09, 09:24:01,  -05:00,       ,   47.9485130,  -97.1716080,   728.1, 29.89,   835.6,  14.0,   0.00,   0.00,  -16.50,   2.20,  -0.45,   0.01,   0.00, 179.3,  86.0,  28.0,  28.0,   5.4,   0.4,  24.00,  24.00,     2.44,   58.80,   69.03, 1211.7,   69.95,   79.00,   76.61,   68.78, 1200.46, 1006.34, 1178.31, 1096.98,   747.8,   0,  GPS,  250.1, 108.40, 114.30, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.2,       ,      ,       ,      ,      ,   0.0, 3DDiff, 3704,      ,     42,  56.5,     72
2017-05-09, 09:24:01,  -05:00,       ,   47.9485130,  -97.1716080,   728.1, 29.89,   835.6,  14.0,   0.00,   0.00,  -16.50,   2.20,  -0.45,   0.01,   0.00, 179.3,  86.0,  28.0,  28.0,   5.4,   0.4,  24.00,  24.00,     2.44,   58.80,   69.03, 1211.7,   69.95,   79.00,   76.61,   68.78, 1200.46, 1006.34, 1178.31, 1096.98,   747.8,   0,  GPS,  250.1, 108.40, 114.30, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.2,       ,      ,       ,      ,      ,   0.0, 3DDiff, 3704,      ,     42,  56.5,     72
2017-05-09, 09:24:02,  -05:00,       ,   47.9485130,  -97.1716080,   737.1, 29.89,   837.3,  14.0,   0.00,   0.00,  121.76,   2.23,  -0.56,   0.00,  -0.01, 179.2,  86.0,  28.0,  28.0,   5.3,   0.3,  24.00,  24.00,     2.42,   58.84,   68.84, 1198.9,   70.66,   79.73,   77.45,   69.48, 1209.06, 1008.36, 1188.80, 1113.73,   749.5,   0,  GPS,  250.1, 108.40, 114.30, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.2,       ,      ,       ,      ,      ,   3.9, 3DDiff, 3704,      ,     42,  56.5,     72
2017-05-09, 09:24:03,  -05:00,       ,   47.9485054,  -97.1716080,   736.1, 29.89,   835.5,  14.0,   0.00,   0.00,  158.60,   2.10,  -0.46,   0.02,   0.01, 179.3,  86.0,  28.0,  28.0,   5.2,   0.4,  24.00,  24.00,     2.13,   58.89,   67.42, 1134.6,   71.42,   80.48,   78.31,   70.17, 1214.48, 1010.57, 1198.58, 1126.71,   747.7,   0,  GPS,  250.1, 108.40, 114.30, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.2,       ,      ,       ,      ,      ,   0.0, 3DDiff, 3704,      ,     42,  56.5,     72
2017-05-09, 09:24:05,  -05:00,       ,   47.9485054,  -97.1716080,   728.1, 29.89,   835.4,  14.0,   0.00,   0.00,  -48.31,   2.21,  -0.34,   0.01,  -0.01, 179.4,  86.0,  28.0,  28.0,   5.1,   0.3,  24.00,  24.00,     2.04,   58.93,   65.09, 1033.6,   72.21,   81.24,   79.15,   70.85, 1207.64, 1006.93, 1191.42, 1121.16,   747.5,   0,  GPS,  250.1, 108.40, 114.30, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.2,       ,      ,       ,      ,      ,   0.0, 3DDiff, 3704,      ,     42,  56.5,     72
2017-05-09, 09:24:06,  -05:00,       ,   47.9485054,  -97.1716080,   724.1, 29.89,   835.4,  14.0,   0.00,   0.00, -174.62,   2.33,  -0.44,   0.03,   0.01, 179.4,  86.0,  28.0,  28.0,   5.1,   0.3,  24.00,  24.00,     2.07,   58.97,   64.37, 1000.7,   72.99,   82.00,   80.02,   71.58, 1196.42, 1008.11, 1176.92, 1108.14,   747.5,   0,  GPS,  250.1, 108.40, 114.30, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.2,       ,      ,       ,      ,      ,   0.0, 3DDiff, 3704,      ,     42,  56.5,     72
2017-05-09, 09:24:07,  -05:00,       ,   47.9485054,  -97.1716080,   727.1, 29.89,   835.4,  14.0,   0.00,   0.00, -123.43,   2.25,  -0.51,   0.01,   0.00, 179.3,  86.0,  28.0,  28.0,   5.1,   0.3,  24.00,  24.00,     1.99,   59.01,   64.32, 1000.3,   73.80,   82.79,   80.88,   72.32, 1187.70, 1011.49, 1164.30, 1096.88,   747.6,   0,  GPS,  250.1, 108.40, 114.30, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.2,       ,      ,       ,      ,      ,   0.0, 3DDiff, 3704,      ,     42,  56.5,     72
2017-05-09, 09:24:08,  -05:00,       ,   47.9485054,  -97.1716080,   728.1, 29.89,   835.3,  14.0,   0.00,   0.00,  -18.22,   2.34,  -0.53,   0.00,   0.04, 179.2,  86.0,  28.0,  28.0,   5.0,   0.3,  24.00,  24.00,     2.01,   59.05,   64.45, 1004.2,   74.59,   83.56,   81.80,   73.04, 1181.12, 1013.81, 1154.23, 1087.75,   747.5,   0,  GPS,  250.1, 108.40, 114.30, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.2,       ,      ,       ,      ,      ,   0.0, 3DDiff, 3704,      ,     42,  56.5,     72
2017-05-09, 09:24:09,  -05:00,       ,   47.9485054,  -97.1716080,   729.1, 29.89,   833.3,  14.0,   0.00,   0.00,    8.40,   2.30,  -0.35,   0.02,  -0.03, 179.4,  86.0,  28.0,  28.0,   5.0,   0.3,  24.00,  24.00,     2.00,   59.10,   64.42, 1005.9,   75.40,   84.36,   82.69,   73.79, 1176.68, 1016.15, 1145.91, 1079.70,   745.5,   0,  GPS,  250.1, 108.40, 114.30, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.2,       ,      ,       ,      ,      ,   0.0, 3DDiff, 3704,      ,     42,  56.5,     72
2017-05-09, 09:24:10,  -05:00,       ,   47.9485130,  -97.1716080,   734.1, 29.89,   835.4,  14.0,   0.00,   0.00,  115.89,   2.30,  -0.52,   0.01,  -0.02, 179.3,  86.0,  28.0,  28.0,   4.9,   0.3,  24.00,  24.00,     1.98,   59.14,   64.48, 1009.5,   76.21,   85.05,   83.52,   74.57, 1174.62, 1017.24, 1141.95, 1073.12,   747.6,   0,  GPS,  250.1, 108.40, 114.30, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.2,       ,      ,       ,      ,      ,   0.0, 3DDiff, 3704,      ,     42,  56.5,     72
