Lcl_Date,Lcl_Time,UTCOfst,AtvWpt,Latitude,Longitude,AltB,BaroA,AltMSL,OAT,IAS,GndSpd,VSpd,Pitch,Roll,LatAc,NormAc,HDG,TRK,volt1,volt2,amp1,amp2,FQtyL,FQtyR,E1_FFlow,E1_OilT,E1_OilP,E1_RPM,E1_CHT1,E1_CHT2,E1_CHT3,E1_CHT4,E1_EGT1,E1_EGT2,E1_EGT3,E1_EGT4,AltGPS,TAS,HSIS,CRS,NAV1,NAV2,COM1,COM2,HCDI,VCDI,WndSpd,WndDr,WptDst,WptBrg,MagVar,AfcsOn,RollM,PitchM,RollC,PichC,VSpdG,GPSfix,HAL,VAL,HPLwas,HPLfd,VPLwas
2017-05-09, 11:59:27,  -05:00,       ,   45.8649750,  -95.3906403,  1425.7, 30.00,  1422.2,  20.8,   0.00,   0.00,    1.04,   2.88,   0.51,   0.01,   0.00,  48.1, 268.2,  28.1,  28.0,   4.5,   0.6,  24.00,  24.00,     2.05,  121.38,   62.01, 1086.6,  109.34,   92.21,  114.08,   97.03, 1099.71,  825.73, 1023.37,  974.46,  1334.1,   0,  GPS,  315.9, 110.50, 112.80, 126.100, 118.375,       ,       ,       ,      ,       ,       ,    1.9,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  85.0,       
2017-05-09, 11:59:27,  -05:00,       ,   45.8649750,  -95.3906403,  1425.7, 30.00,  1422.2,  20.8,   0.00,   0.00,   -7.36,   2.88,   0.51,  -0.02,   0.02,  48.1, 268.2,  28.1,  28.0,   4.6,   0.6,  24.00,  24.00,     2.10,  121.40,   61.97, 1082.7,  109.49,   92.35,  114.17,   97.18, 1100.88,  829.63, 1024.73,  975.98,  1334.1,   0,  GPS,  315.9, 110.50, 112.80, 126.100, 118.375,       ,       ,       ,      ,       ,       ,    1.9,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  85.0,       
2017-05-09, 11:59:28,  -05:00,       ,   45.8649750,  -95.3906479,  1424.7, 30.00,  1420.0,  20.8,   0.00,   0.00,  -25.34,   2.88,   0.45,  -0.01,  -0.01,  48.1, 268.2,  28.1,  28.0,   4.4,   0.6,  24.00,  24.00,     2.03,  121.45,   62.01, 1084.7,  110.06,   92.70,  114.75,   97.66, 1106.74,  846.97, 1029.99,  980.65,  1331.9,   0,  GPS,  315.9, 110.50, 112.80, 126.100, 118.375,       ,       ,       ,      ,       ,       ,    1.9,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  85.0,       
2017-05-09, 11:59:29,  -05:00,       ,   45.8649750,  -95.3906479,  1419.7, 30.00,  1419.8,  20.8,   0.00,   0.00, -127.89,   2.91,   0.53,  -0.01,   0.01,  48.2, 268.2,  28.1,  28.0,   4.3,   0.6,  24.00,  24.00,     2.05,  121.49,   61.91, 1079.8,  110.59,   93.16,  115.30,   98.13, 1111.86,  863.73, 1034.83,  984.33,  1331.7,   0,  GPS,  315.9, 110.50, 112.80, 126.100, 118.375,       ,       ,       ,      ,       ,       ,    1.9,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  85.0,       
2017-05-09, 11:59:30,  -05:00,       ,   45.8649750,  -95.3906479,  1419.7, 30.00,  1419.5,  20.8,   0.00,   0.00, -119.92,   2.88,   0.55,  -0.01,  -0.00,  48.3, 268.2,  28.1,  28.0,   4.2,   0.6,  24.00,  24.00,     2.05,  121.54,   62.07, 1088.1,  111.26,   93.70,  116.00,   98.77, 1115.93,  881.61, 1039.29,  987.92,  1331.4,   0,  GPS,  315.9, 110.50, 112.80, 126.100, 118.375,       ,       ,       ,      ,       ,       ,    1.9,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  85.0,       
2017-05-09, 11:59:31,  -05:00,       ,   45.8649750,  -95.3906479,  1422.7, 30.00,  1419.4,  20.8,   0.00,   0.00,  -31.98,   2.78,   0.42,  -0.00,  -0.01,  48.2, 268.2,  28.1,  28.1,   4.2,   0.6,  24.00,  24.00,     2.10,  121.58,   62.22, 1095.6,  111.71,   94.01,  116.49,   99.23, 1120.08,  896.48, 1043.45,  990.86,  1331.3,   0,  GPS,  315.9, 110.50, 112.80, 126.100, 118.375,       ,       ,       ,      ,       ,       ,    1.9,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  85.0,       
2017-05-09, 11:59:32,  -05:00,       ,   45.8649750,  -95.3906479,  1424.7, 30.00,  1418.8,  21.0,   0.00,   0.00,   54.67,   2.76,   0.45,  -0.02,  -0.02,  48.2, 268.2,  28.1,  28.1,   4.2,   0.6,  24.00,  24.00,     2.02,  121.61,   62.24, 1098.5,  112.44,   94.54,  117.16,   99.90, 1125.06,  902.99, 1047.79,  995.04,  1330.7,   0,  GPS,  315.9, 110.50, 112.80, 126.100, 118.375,       ,       ,       ,      ,       ,       ,    1.9,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  85.0,       
2017-05-09, 11:59:33,  -05:00,       ,   45.8649750,  -95.3906479,  1423.7, 30.00,  1418.7,  21.0,   0.00,   0.00,   39.48,   2.76,   0.45,  -0.01,  -0.00,  48.3, 268.2,  28.1,  28.0,   4.1,   0.5,  24.00,  24.00,     2.04,  121.65,   62.25, 1100.6,  113.06,   95.01,  117.80,  100.51, 1130.02,  910.97, 1052.18,  998.85,  1330.6,   0,  GPS,  315.9, 110.50, 112.80, 126.100, 118.375,       ,       ,       ,      ,       ,       ,    1.9,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  85.0,       
2017-05-09, 11:59:34,  -05:00,       ,   45.8649750,  -95.3906403,  1424.7, 30.00,  1418.3,  21.0,   0.00,   0.00,   32.30,   2.71,   0.36,   0.00,   0.00,  48.3, 268.2,  28.1,  28.0,   4.0,   0.5,  24.00,  24.00,     2.04,  121.68,   62.29, 1102.5,  113.65,   95.45,  118.40,  101.07, 1132.62,  921.41, 1056.08, 1001.97,  1330.2,   0,  GPS,  315.9, 110.50, 112.80, 126.100, 118.375,       ,       ,       ,      ,       ,       ,    1.9,       ,      ,       ,      ,      ,  -7.9,     3D, 3704,      ,       ,  85.0,       
2017-05-09, 11:59:35,  -05:00,       ,   45.8649712,  -95.3906403,  1424.7, 30.00,  1417.9,  21.0,   0.00,   0.00,   32.01,   2.72,   0.41,  -0.01,   0.01,  48.3, 268.2,  28.1,  28.0,   3.9,   0.5,  24.00,  24.00,     2.04,  121.71,   62.37, 1105.6,  114.25,   95.89,  119.05,  101.67, 1135.61,  929.88, 1059.94, 1004.91,  1329.8,   0,  GPS,  315.9, 110.50, 112.80, 126.100, 118.375,       ,       ,       ,      ,       ,       ,    1.9,       ,      ,       ,      ,      ,  -7.9,     3D, 3704,      ,       ,  85.0,       
