Latitude,Longitude,AltB,BaroA,OAT,GndSpd,VSpd,Pitch,Roll,LatAc,NormAc,HDG,TRK,volt1,volt2,amp1,amp2,FQtyL,FQtyR,E1_FFlow,E1_OilT,E1_OilP,E1_RPM,E1_CHT2,E1_CHT4,E1_EGT2,E1_EGT4,TAS,CRS,NAV1,NAV2,COM1,COM2,MagVar,VSpdG,HAL,HPLfd
47.9482689,-97.1722946,836.3,29.86,19.5,0.0,-13.41,2.19,0.33,-0.02,0.03,359.4,267.5,27.9,27.9,6.7,0.5,19.43,21.07,1.9,146.84,58.13,994.6,150.46,171.86,818.31,939.2,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,63.5
47.9482689,-97.1722794,836.3,29.86,19.5,0.0,-15.64,2.16,0.35,-0.01,-0.02,359.4,267.5,27.9,27.9,6.8,0.5,19.4,21.07,1.91,146.84,58.18,997.2,150.63,172.11,818.77,939.61,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,63.0
47.9482689,-97.1722794,835.3,29.86,19.5,0.0,-25.77,2.18,0.32,-0.02,-0.01,359.4,267.5,27.9,27.9,6.8,0.5,19.4,21.07,1.93,146.84,58.36,996.4,150.94,172.65,819.29,940.25,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,63.5
47.9482689,-97.1722794,835.3,29.86,19.5,0.0,-8.44,2.16,0.33,0.01,-0.03,359.4,267.5,27.9,27.9,7.0,0.5,19.4,21.1,1.95,146.82,58.15,995.7,151.5,173.65,828.61,943.18,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,64.0
47.9482689,-97.1722946,834.3,29.86,19.5,0.0,-26.01,2.2,0.3,-0.01,0.01,359.4,267.5,27.9,27.9,7.0,0.5,19.4,21.07,1.91,146.82,58.33,996.4,151.8,174.11,824.69,945.62,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,63.0
47.9482689,-97.1722946,834.3,29.86,19.5,0.0,-23.66,2.22,0.32,0.0,0.01,359.4,267.5,27.9,27.9,6.8,0.5,19.4,21.07,1.92,146.81,58.32,999.1,152.15,174.74,826.52,947.27,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,63.0
47.9482651,-97.1722794,836.3,29.86,19.5,0.0,17.01,2.2,0.32,-0.01,-0.0,359.4,267.5,27.9,27.9,6.8,0.5,19.4,21.07,1.95,146.8,58.17,996.1,152.48,175.28,828.91,948.54,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,63.0
47.9482651,-97.1722794,838.3,29.86,19.5,0.0,68.19,2.19,0.32,-0.01,0.01,359.4,267.5,27.9,27.9,6.7,0.4,19.4,21.02,1.92,146.79,58.16,992.1,152.79,175.79,826.64,949.3,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,63.0
47.9482651,-97.1722794,837.3,29.86,19.5,0.0,35.85,2.18,0.29,-0.0,0.0,359.4,267.5,27.9,27.9,6.9,0.4,19.4,21.02,1.93,146.77,58.45,1000.7,153.1,176.3,826.34,950.22,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,63.5
47.9482651,-97.1722794,837.3,29.86,19.5,0.0,9.21,2.16,0.24,-0.0,0.01,359.3,267.5,27.9,27.9,7.0,0.5,19.4,21.02,1.93,146.75,58.4,1006.2,153.38,176.8,829.38,951.13,0,308.4,114.3,114.3,120.55,123.3,3.2,-3.9,3704.0,58.0
47.9482651,-97.1722794,836.3,29.86,19.5,0.0,-20.45,2.16,0.33,-0.0,-0.01,359.5,267.5,27.9,27.9,6.7,0.5,19.4,21.02,1.94,146.74,58.65,1012.6,153.69,177.35,831.73,951.44,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,57.0
47.9482651,-97.1722794,836.3,29.86,19.5,0.0,-18.56,2.16,0.3,-0.01,-0.0,359.4,267.5,27.9,27.9,6.8,0.4,19.4,21.02,1.94,146.72,59.43,1059.9,153.98,177.85,842.2,954.19,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,56.5
47.9482689,-97.1722794,837.3,29.86,19.5,0.0,-0.3,2.16,0.33,-0.0,0.03,359.5,267.5,27.9,27.9,6.8,0.4,19.4,21.02,1.93,146.7,59.73,1084.4,154.35,178.45,858.29,961.0,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,57.0
47.9482689,-97.1722794,836.3,29.86,19.5,0.0,-3.98,2.14,0.34,-0.0,-0.0,359.5,267.5,28.0,27.9,7.1,0.4,19.4,21.02,1.98,146.68,60.03,1096.2,154.61,178.93,875.65,970.42,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,57.0
47.9482689,-97.1722794,835.3,29.86,19.5,0.0,-24.56,2.18,0.36,-0.01,0.02,359.4,267.5,28.0,27.9,7.0,0.4,19.45,20.97,1.99,146.66,60.56,1128.7,154.97,179.53,893.03,980.03,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,57.5
47.9482689,-97.1722794,836.3,29.86,19.5,0.0,-14.22,2.15,0.36,-0.01,0.02,359.4,267.5,28.0,27.9,6.8,0.4,19.45,20.97,2.02,146.65,60.64,1142.1,155.18,179.99,910.85,990.39,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,57.5
47.9482689,-97.1722794,837.3,29.86,19.5,0.0,15.59,2.1,0.35,-0.0,-0.04,359.4,267.5,28.0,27.9,6.8,0.4,19.51,20.97,2.02,146.63,60.85,1154.9,155.45,180.45,927.47,1001.58,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,57.0
47.9482689,-97.1722794,837.3,29.86,19.5,0.0,27.29,2.1,0.34,-0.0,-0.01,359.5,267.5,28.0,27.9,6.8,0.4,19.51,21.02,2.06,146.61,60.8,1151.0,155.9,181.1,943.13,1012.18,0,308.4,114.3,114.3,120.55,123.3,3.2,-3.9,3704.0,56.5
47.9482689,-97.1722794,837.3,29.86,19.5,0.0,30.94,2.14,0.43,-0.0,-0.0,359.5,267.5,28.0,27.9,7.0,0.4,19.51,21.02,2.06,146.58,60.8,1157.4,156.23,181.64,955.44,1021.74,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,57.0
47.9482689,-97.1722794,836.3,29.86,19.5,0.0,-12.17,2.13,0.38,-0.0,-0.01,359.4,267.5,28.0,27.9,6.9,0.4,19.51,21.07,2.09,146.57,61.16,1169.8,156.59,182.2,966.75,1030.73,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,57.0
47.9482689,-97.1722794,836.3,29.86,19.5,0.0,-12.5,2.12,0.43,-0.0,-0.0,359.5,267.5,28.0,27.9,6.7,0.4,19.51,21.07,2.11,146.53,61.41,1182.7,156.91,182.76,976.57,1040.32,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,57.5
47.9482651,-97.1722794,837.3,29.86,19.5,0.0,20.58,2.13,0.37,-0.01,0.02,359.4,267.5,28.0,27.9,6.7,0.4,19.51,21.07,2.17,146.51,61.82,1199.3,157.26,183.3,982.73,1051.11,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,57.5
47.9482689,-97.1722794,838.3,29.86,19.5,0.0,27.4,2.23,0.41,-0.0,0.03,359.5,267.5,28.0,27.9,6.8,0.4,19.45,21.07,2.18,146.48,62.06,1211.7,157.64,183.84,986.98,1063.07,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,57.0
47.9482689,-97.1722794,839.3,29.86,19.5,0.0,51.79,2.23,0.4,-0.02,0.02,359.4,267.5,28.0,27.9,6.9,0.4,19.45,21.02,2.19,146.45,62.08,1212.3,157.97,184.39,992.35,1073.25,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,56.5
47.9482689,-97.1722794,839.3,29.86,19.5,0.0,33.16,2.1,0.27,-0.0,0.0,359.4,267.5,28.0,27.9,6.8,0.4,19.45,21.02,2.22,146.43,62.15,1212.0,158.35,184.95,997.75,1082.09,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,56.5
47.9482651,-97.1722412,841.3,29.86,19.5,0.0,44.05,2.11,0.29,-0.01,0.02,359.4,267.5,28.0,27.9,6.6,0.4,19.43,21.02,2.2,146.41,62.08,1214.2,158.75,185.54,1001.99,1089.45,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,216.0
47.9482651,-97.1722412,841.3,29.86,19.5,0.0,44.41,2.07,0.41,-0.0,-0.07,359.5,267.5,28.0,27.9,6.6,0.4,19.4,21.02,2.19,146.37,62.0,1213.9,159.22,186.17,1006.0,1096.07,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,217.5
47.9482651,-97.1722336,839.3,29.86,19.5,0.0,-4.02,2.07,0.35,-0.0,0.0,359.5,267.5,28.0,27.9,6.7,0.3,19.4,21.07,2.17,146.32,61.92,1215.1,159.64,186.82,1009.43,1102.21,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,219.5
47.9482651,-97.1722412,838.3,29.86,19.5,0.0,-31.48,2.08,0.32,-0.02,-0.0,359.4,267.5,28.0,27.9,6.9,0.4,19.4,21.07,2.18,146.28,62.09,1217.5,160.06,187.36,1013.08,1107.02,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,220.5
47.9482651,-97.1722488,839.3,29.86,19.5,0.0,-20.2,2.1,0.35,-0.01,0.03,359.3,267.5,28.0,27.9,6.6,0.4,19.38,21.07,2.19,146.25,62.08,1214.6,160.46,187.98,1017.0,1111.6,0,308.4,114.3,114.3,120.55,123.3,3.2,-43.3,3704.0,59.0
47.9482651,-97.1722488,839.3,29.86,19.5,0.0,-7.32,2.09,0.35,-0.02,-0.0,359.4,267.5,28.0,27.9,6.6,0.4,19.38,21.07,2.11,146.21,62.15,1213.5,160.88,188.53,1021.05,1116.62,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,59.5
47.9482651,-97.1722488,838.3,29.86,19.5,0.0,-22.07,2.09,0.37,-0.0,0.0,359.5,267.5,28.0,27.9,6.5,0.4,19.35,21.1,2.15,146.15,62.13,1213.1,161.3,189.11,1024.62,1121.32,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,60.0
47.9482651,-97.1722488,839.3,29.86,19.5,0.0,2.25,2.08,0.37,-0.03,-0.03,359.4,267.5,28.0,27.9,6.6,0.3,19.33,21.1,2.14,146.1,62.17,1215.0,161.76,189.68,1026.77,1126.08,0,308.4,114.3,114.3,120.55,123.3,3.2,3.9,3704.0,60.0
47.9482651,-97.1722488,838.3,29.86,19.5,0.0,0.47,2.12,0.38,-0.0,0.04,359.5,267.5,28.0,27.9,6.7,0.3,19.33,21.1,2.16,146.06,62.05,1213.2,162.17,190.29,1027.63,1130.92,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,61.0
47.9482651,-97.1722488,838.3,29.86,19.5,0.0,-12.36,2.11,0.4,-0.01,0.01,359.5,267.5,28.0,27.9,6.5,0.4,19.3,21.1,2.13,146.02,61.9,1210.0,162.61,190.9,1029.18,1134.66,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,59.5
47.9482651,-97.1722488,838.3,29.86,19.5,0.0,-9.55,2.1,0.43,0.01,-0.01,359.5,267.5,28.0,27.9,6.4,0.3,19.3,21.1,2.08,145.96,61.91,1210.1,163.08,191.48,1031.26,1138.13,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,58.5
47.9482651,-97.1722488,837.3,29.86,19.5,0.0,-14.76,2.1,0.33,-0.01,0.02,359.4,267.5,28.0,27.9,6.5,0.3,19.33,21.1,2.12,145.9,61.78,1204.8,163.63,192.2,1033.63,1141.8,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,59.0
47.9482651,-97.1722488,837.3,29.86,19.5,0.0,-17.13,2.13,0.38,-0.02,0.03,359.4,267.5,28.0,27.9,6.6,0.3,19.33,21.1,2.1,145.84,61.79,1206.0,164.11,192.82,1036.0,1146.22,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,59.0
47.9482651,-97.1722488,838.3,29.86,19.5,0.0,7.86,2.13,0.44,-0.01,0.03,359.5,267.5,28.0,27.9,6.7,0.4,19.35,21.1,2.1,145.79,61.79,1203.8,164.56,193.45,1036.82,1150.46,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,59.5
47.9482651,-97.1722488,838.3,29.86,19.5,0.0,15.69,2.08,0.34,-0.01,-0.03,359.4,267.5,27.9,27.9,6.4,0.3,19.4,21.1,2.07,145.73,61.85,1204.4,164.99,194.07,1037.27,1154.77,0,308.4,114.3,114.3,120.55,123.3,3.2,-3.9,3704.0,60.0
47.9482651,-97.1722565,839.3,29.86,19.5,0.0,27.17,2.14,0.4,-0.0,0.02,359.5,267.5,27.9,27.9,6.4,0.3,19.4,21.1,2.04,145.68,61.76,1201.8,165.49,194.65,1037.56,1159.11,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,59.0
47.9482651,-97.1722488,840.3,29.86,19.5,0.0,27.74,2.11,0.36,0.0,0.02,359.4,267.5,28.0,27.9,6.4,0.3,19.4,21.07,2.03,145.63,61.67,1195.9,165.97,195.26,1038.88,1163.27,0,308.4,114.3,114.3,120.55,123.3,3.2,-3.9,3704.0,58.0
47.9482651,-97.1722488,839.3,29.86,19.5,0.0,14.16,2.1,0.34,-0.0,-0.01,359.5,267.5,28.0,27.9,6.6,0.3,19.45,21.07,2.04,145.58,61.61,1195.7,165.85,195.25,1038.09,1167.07,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,58.5
47.9482651,-97.1722488,839.3,29.86,19.5,0.0,-2.34,2.11,0.37,-0.01,0.0,359.5,267.5,28.0,27.9,6.6,0.3,19.45,21.07,1.98,145.52,61.71,1198.3,166.08,195.68,1036.82,1171.27,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,58.5
47.9482651,-97.1722488,838.3,29.86,19.5,0.0,-21.18,2.1,0.4,0.0,-0.01,359.5,267.5,28.0,27.9,6.4,0.3,19.45,21.1,2.05,145.46,61.58,1194.4,166.54,196.23,1035.63,1175.1,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,59.0
47.9482651,-97.1722488,838.3,29.86,19.5,0.0,-13.93,2.1,0.33,-0.01,0.0,359.4,267.5,28.0,27.9,6.4,0.3,19.45,21.07,2.07,145.4,61.64,1196.3,167.05,196.89,1034.86,1179.38,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,59.5
47.9482689,-97.1722488,837.3,29.86,19.5,0.0,-23.14,2.07,0.36,0.01,-0.01,359.5,267.5,28.0,27.9,6.4,0.3,19.45,21.07,2.03,145.34,61.67,1196.8,167.52,197.49,1034.4,1182.46,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,58.5
47.9482689,-97.1722565,837.3,29.86,19.5,0.0,-39.05,2.05,0.43,-0.0,-0.05,359.5,267.5,28.0,27.9,6.5,0.3,19.45,21.07,2.08,145.28,61.7,1198.1,168.02,198.12,1035.45,1184.26,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,57.5
47.9482689,-97.1722565,837.3,29.86,19.5,0.0,-28.23,2.08,0.37,-0.0,0.01,359.5,267.5,28.0,27.9,6.4,0.3,19.4,21.1,2.09,145.23,61.85,1205.4,168.55,198.76,1036.05,1185.24,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,57.5
