#airframe_info, log_version="1.00", airframe_name="Cessna 172S", unit_software_part_number="006-B0319-A3", unit_software_version="12.03", system_software_part_number="006-B0563-26", system_id="2F8EB36E1", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,  amps,   gals,   gals,      gph,   deg F,     psi,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  amp2,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2012-08-23, 09:12:53,  -05:00,       ,   47.9485893,  -97.1729813,   973.6, 29.91,   840.0,  23.0,   0.00,   0.00,  -12.42,   1.57,  -0.18,   0.00,   0.01, 358.2, 266.5,  28.1,  28.0,  13.9,   0.6,  21.21,  22.00,     2.99,   76.60,   58.29, 1170.1,   83.83,   74.79,   80.53,   77.66, 1012.21,  997.50,  986.27,  990.95,   752.2,   0,  GPS,  169.0, 114.30, 109.10, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,   0.0, 3DDiff, 3704,      ,     20,  34.5,     32
2012-08-23, 09:12:53,  -05:00,       ,   47.9485893,  -97.1729813,   972.6, 29.91,   840.0,  23.0,   0.00,   0.00,  -27.12,   1.57,  -0.18,  -0.00,  -0.04, 358.1, 266.5,  28.1,  28.0,  13.8,   0.6,  21.21,  22.00,     2.98,   76.61,   58.39, 1168.5,   84.16,   75.04,   80.80,   77.92, 1013.79,  999.25,  988.17,  992.94,   752.2,   0,  GPS,  169.0, 114.30, 109.10, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,   0.0, 3DDiff, 3704,      ,     20,  34.5,     32
2012-08-23, 09:12:54,  -05:00,       ,   47.9485893,  -97.1729813,   973.6, 29.91,   840.1,  23.0,   0.00,   0.00,  -23.31,   1.67,  -0.18,   0.01,   0.02, 358.1, 266.5,  28.1,  28.0,  13.7,   0.6,  21.21,  22.00,     2.95,   76.64,   58.43, 1169.6,   84.71,   75.39,   81.26,   78.43, 1016.48, 1001.41,  991.83,  996.12,   752.2,   0,  GPS,  169.0, 114.30, 109.10, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,   3.9, 3DDiff, 3704,      ,     20,  34.5,     32
2012-08-23, 09:12:55,  -05:00,       ,   47.9485893,  -97.1729813,   972.6, 29.91,   840.2,  23.0,   0.00,   0.00,  -33.31,   1.64,  -0.18,   0.00,  -0.02, 358.2, 266.5,  28.1,  28.0,  13.7,   0.6,  21.19,  22.00,     2.97,   76.66,   58.50, 1173.4,   85.36,   75.88,   81.83,   79.00, 1018.48, 1004.12,  995.30,  999.25,   752.3,   0,  GPS,  169.0, 114.30, 109.10, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,   3.9, 3DDiff, 3704,      ,     20,  35.0,     32
2012-08-23, 09:12:56,  -05:00,       ,   47.9485855,  -97.1729736,   971.6, 29.91,   841.6,  23.0,   0.00,   0.00,  -31.90,   1.66,  -0.18,   0.01,  -0.02, 358.2, 266.5,  28.1,  28.0,  13.7,   0.6,  21.19,  22.05,     3.01,   76.68,   58.32, 1172.5,   85.99,   76.38,   82.36,   79.56, 1020.36, 1006.82,  997.95, 1001.27,   753.8,   0,  GPS,  169.0, 114.30, 109.10, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,   0.0, 3DDiff, 3704,      ,     19,  34.5,     32
2012-08-23, 09:12:57,  -05:00,       ,   47.9485855,  -97.1729736,   972.6, 29.91,   841.2,  23.0,   0.00,   0.00,   -6.88,   1.70,  -0.20,   0.00,   0.04, 358.1, 266.5,  28.1,  28.0,  13.7,   0.6,  21.14,  22.05,     2.97,   76.71,   58.33, 1172.6,   86.57,   76.82,   82.87,   80.15, 1022.19, 1009.13, 1001.31, 1003.95,   753.3,   0,  GPS,  169.0, 114.30, 109.10, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,  -3.9, 3DDiff, 3704,      ,     19,  34.5,     32
2012-08-23, 09:12:58,  -05:00,       ,   47.9485893,  -97.1729736,   973.6, 29.91,   841.3,  23.0,   0.00,   0.00,   10.43,   1.66,  -0.19,   0.00,  -0.01, 358.1, 266.5,  28.1,  28.0,  13.6,   0.6,  21.14,  22.05,     2.99,   76.73,   58.43, 1173.6,   87.18,   77.25,   83.37,   80.68, 1023.05, 1011.55, 1004.16, 1006.80,   753.5,   0,  GPS,  169.0, 114.30, 109.10, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,   0.0, 3DDiff, 3704,      ,     19,  34.0,     32
2012-08-23, 09:12:59,  -05:00,       ,   47.9485893,  -97.1729736,   973.6, 29.91,   841.4,  22.8,   0.00,   0.00,   18.91,   1.56,  -0.20,   0.01,  -0.05, 358.2, 266.5,  28.1,  28.0,  13.5,   0.5,  21.19,  22.05,     2.95,   76.76,   58.48, 1175.5,   87.77,   77.73,   83.90,   81.24, 1024.78, 1014.44, 1006.27, 1009.86,   753.6,   0,  GPS,  169.0, 114.30, 109.10, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,   0.0, 3DDiff, 3704,      ,     20,  34.5,     32
2012-08-23, 09:13:00,  -05:00,       ,   47.9485893,  -97.1729736,   972.6, 29.91,   841.5,  22.8,   0.00,   0.00,   -1.49,   1.61,  -0.22,   0.00,   0.02, 358.1, 266.5,  28.1,  28.1,  13.6,   0.5,  21.19,  22.00,     2.95,   76.78,   58.29, 1178.6,   88.40,   78.18,   84.42,   81.81, 1026.39, 1017.95, 1009.28, 1012.63,   753.7,   0,  GPS,  169.0, 114.30, 109.10, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,  -3.9, 3DDiff, 3704,      ,     20,  34.5,     32
2012-08-23, 09:13:01,  -05:00,       ,   47.9485893,  -97.1729736,   973.6, 29.91,   841.8,  22.8,   0.00,   0.00,    5.66,   1.63,  -0.19,  -0.01,  -0.01, 358.1, 266.5,  28.1,  28.1,  13.6,   0.5,  21.19,  22.05,     2.92,   76.81,   58.59, 1185.7,   89.02,   78.68,   85.00,   82.39, 1028.51, 1020.27, 1012.08, 1015.82,   754.0,   0,  GPS,  169.0, 114.30, 109.10, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,   0.0, 3DDiff, 3704,      ,     20,  35.0,     32
