#airframe_info, log_version="1.00", airframe_name="Cessna 172S", unit_software_part_number="006-B0319-A3", unit_software_version="12.03", system_software_part_number="006-B0563-26", system_id="249D9C93F", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,  amps,   gals,   gals,      gph,   deg F,     psi,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  amp2,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2012-09-25, 08:08:21,  -05:00,       ,   47.9486008,  -97.1729889,   970.5, 30.13,   847.7,   2.0,   0.00,   0.00,   -2.12,   1.34,  -0.73,   0.02,  -0.01, 354.8, 260.9,  28.1,  28.1,  19.5,   0.4,  23.01,  24.00,     3.10,   58.35,   68.01, 1221.9,   97.24,  109.92,  102.60,  102.44, 1093.12, 1050.57, 1079.60, 1071.60,   759.9,   0,  GPS,   61.9, 114.30, 116.50, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,   0.0, 3DDiff,  556,      ,     33,  58.5,     67
2012-09-25, 08:08:21,  -05:00,       ,   47.9486008,  -97.1729889,   970.5, 30.13,   847.7,   2.0,   0.00,   0.00,   -2.12,   1.34,  -0.73,   0.02,  -0.01, 354.8, 260.9,  28.1,  28.1,  19.5,   0.4,  23.01,  24.00,     3.10,   58.35,   68.01, 1221.9,   97.24,  109.92,  102.60,  102.44, 1093.12, 1050.57, 1079.60, 1071.60,   759.9,   0,  GPS,   61.9, 114.30, 116.50, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,   0.0, 3DDiff,  556,      ,     33,  58.5,     67
2012-09-25, 08:08:22,  -05:00,       ,             ,             ,   969.5, 30.13,        ,   2.0,   0.00,       ,    0.57,   1.35,  -0.71,   0.01,   0.00, 354.8,      ,  28.1,  28.1,  19.4,   0.4,  23.01,  24.00,     3.18,   58.38,   68.16, 1225.8,   98.08,  110.83,  103.46,  103.34, 1094.02, 1053.95, 1079.10, 1073.04,        ,   0,  GPS,   61.9, 114.30, 116.50, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,      , NoSoln,  556,      ,       ,      ,       
2012-09-25, 08:08:23,  -05:00,       ,   47.9486008,  -97.1729889,   970.5, 30.13,   846.8,   2.0,   0.00,   0.00,    9.05,   1.35,  -0.71,   0.02,   0.01, 354.8, 260.9,  28.1,  28.1,  19.3,   0.4,  23.01,  24.00,     3.14,   58.40,   68.03, 1227.5,   99.06,  111.75,  104.43,  104.33, 1095.83, 1057.36, 1079.53, 1075.10,   759.0,   0,  GPS,   61.9, 114.30, 116.50, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,   0.0, 3DDiff,  556,      ,     33,  59.5,     68
2012-09-25, 08:08:24,  -05:00,       ,   47.9486008,  -97.1729889,   970.5, 30.13,   846.4,   2.0,   0.00,   0.00,    8.03,   1.37,  -0.74,   0.00,  -0.00, 354.8, 260.9,  28.1,  28.1,  19.3,   0.4,  23.01,  24.00,     3.12,   58.43,   68.19, 1231.0,   99.83,  112.71,  105.19,  105.18, 1098.68, 1060.29, 1080.74, 1077.20,   758.6,   0,  GPS,   61.9, 114.30, 116.50, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,   0.0, 3DDiff,  556,      ,     34,  60.0,     68
2012-09-25, 08:08:25,  -05:00,       ,   47.9485931,  -97.1729889,   970.5, 30.13,   841.8,   2.0,   0.00,   0.00,    0.43,   1.33,  -0.74,   0.02,  -0.02, 354.8, 260.9,  28.1,  28.1,  19.3,   0.4,  23.01,  24.00,     3.04,   58.45,   68.20, 1234.7,  100.67,  113.51,  106.00,  106.04, 1101.09, 1063.80, 1082.14, 1079.28,   754.0,   0,  GPS,   61.9, 114.30, 116.50, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,   0.0, 3DDiff,  556,      ,     33,  57.5,     67
2012-09-25, 08:08:26,  -05:00,       ,   47.9486008,  -97.1729889,   971.5, 30.13,   845.4,   2.0,   0.00,   0.00,   26.72,   1.27,  -0.69,   0.01,  -0.01, 354.8, 260.9,  28.1,  28.1,  19.3,   0.4,  23.01,  24.00,     2.96,   58.48,   68.26, 1239.9,  101.50,  114.42,  106.90,  106.91, 1103.54, 1068.38, 1083.21, 1082.12,   757.6,   0,  GPS,   61.9, 114.30, 116.50, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,  -3.9, 3DDiff,  556,      ,     32,  58.0,     66
2012-09-25, 08:08:27,  -05:00,       ,   47.9486008,  -97.1729965,   971.5, 30.13,   845.2,   2.0,   0.00,   0.00,   14.99,   1.32,  -0.76,   0.00,   0.03, 354.7, 260.9,  28.1,  28.1,  19.3,   0.4,  22.97,  24.00,     2.90,   58.51,   68.50, 1244.9,  102.39,  115.44,  107.74,  107.80, 1105.45, 1073.27, 1085.13, 1086.27,   757.4,   0,  GPS,   61.9, 114.30, 116.50, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,  -3.9, 3DDiff,  556,      ,     32,  58.5,     66
2012-09-25, 08:08:28,  -05:00,       ,   47.9486008,  -97.1729965,   970.5, 30.13,   845.0,   2.0,   0.00,   0.00,    0.99,   1.33,  -0.71,   0.00,  -0.02, 354.8, 260.9,  28.1,  28.1,  19.2,   0.4,  22.97,  24.00,     2.71,   58.54,   68.56, 1252.5,  103.35,  116.34,  108.70,  108.81, 1109.68, 1078.99, 1087.30, 1089.50,   757.2,   0,  GPS,   61.9, 114.30, 116.50, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,   0.0, 3DDiff,  556,      ,     33,  58.5,     67
2012-09-25, 08:08:29,  -05:00,       ,   47.9486008,  -97.1729965,   971.5, 30.13,   845.9,   2.0,   0.00,   0.00,    1.28,   1.32,  -0.73,   0.02,   0.02, 354.8, 260.9,  28.1,  28.1,  19.1,   0.4,  22.97,  24.00,     2.67,   58.57,   68.59, 1254.4,  104.15,  117.30,  109.45,  109.63, 1115.46, 1087.35, 1090.24, 1093.92,   758.1,   0,  GPS,   61.9, 114.30, 116.50, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,  -3.9, 3DDiff,  556,      ,     33,  59.0,     67
