#airframe_info, log_version="1.00", airframe_name="Cessna 172S", unit_software_part_number="006-B0319-A3", unit_software_version="12.03", system_software_part_number="", system_id="2499E77E9", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2012-10-18, 19:49:12,  +00:00,       ,             ,             ,  1278.8, 29.92,        ,  16.2,   0.00,       ,   -3.83,       ,       ,       ,       ,      ,      ,        ,   0,  GPS,    0.0, 117.95, 117.95, 136.975, 136.975,       ,       ,       ,      ,       ,       ,    2.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-10-18, 19:49:12,  +00:00,       ,             ,             ,  1278.8, 29.92,        ,  16.2,   0.00,       ,   -3.83,       ,       ,       ,       ,      ,      ,        ,   0,  GPS,    0.0, 117.95, 117.95, 136.975, 136.975,       ,       ,       ,      ,       ,       ,    2.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-10-18, 19:49:13,  +00:00,       ,             ,             ,  1278.8, 29.92,        ,  16.2,   0.00,       ,   -3.57,       ,       ,       ,       ,      ,      ,        ,   0,  GPS,    0.0, 117.95, 117.95, 136.975, 136.975,       ,       ,       ,      ,       ,       ,    2.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-10-18, 19:49:14,  +00:00,       ,             ,             ,  1277.8, 29.92,        ,  16.2,   0.00,       ,   -9.19,       ,       ,       ,       ,      ,      ,        ,   0,  GPS,    0.0, 117.95, 117.95, 136.975, 136.975,       ,       ,       ,      ,       ,       ,    2.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-10-18, 19:49:15,  +00:00,       ,             ,             ,  1277.8, 29.92,        ,  16.2,   0.00,       ,  -12.83,       ,       ,       ,       ,      ,      ,        ,   0,  GPS,    0.0, 117.95, 117.95, 136.975, 136.975,       ,       ,       ,      ,       ,       ,    2.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-10-18, 19:49:16,  +00:00,       ,             ,             ,  1278.8, 29.92,        ,  16.2,   0.00,       ,   -6.89,       ,       ,       ,       ,      ,      ,        ,   0,  GPS,    0.0, 117.95, 117.95, 136.975, 136.975,       ,       ,       ,      ,       ,       ,    2.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-10-18, 19:49:17,  +00:00,       ,             ,             ,        , 29.92,        ,  16.2,       ,       ,        ,       ,       ,       ,       ,      ,      ,        ,   0,  GPS,    0.0, 117.95, 117.95, 136.975, 136.975,       ,       ,       ,      ,       ,       ,    2.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-10-18, 19:49:18,  +00:00,       ,             ,             ,        , 29.92,        ,  16.2,       ,       ,        ,       ,       ,       ,       ,      ,      ,        ,   0,  GPS,    0.0, 117.95, 117.95, 136.975, 136.975,       ,       ,       ,      ,       ,       ,    2.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-10-18, 19:49:19,  +00:00,       ,             ,             ,        , 29.92,        ,  16.2,       ,       ,        ,       ,       ,       ,       ,      ,      ,        ,   0,  GPS,    0.0, 117.95, 117.95, 136.975, 136.975,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-10-18, 19:49:21,  +00:00,       ,             ,             ,        , 29.92,        ,  16.2,       ,       ,        ,       ,       ,       ,       ,      ,      ,        ,   0,  GPS,    0.0, 117.95, 117.95, 136.975, 136.975,       ,       ,       ,      ,       ,       ,    2.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-10-18, 19:49:22,  +00:00,       ,             ,             ,        , 29.92,        ,  16.2,       ,       ,        ,       ,       ,       ,       ,      ,      ,        ,   0,  GPS,    0.0, 117.95, 117.95, 136.975, 136.975,       ,       ,       ,      ,       ,       ,    2.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-10-18, 19:49:23,  +00:00,       ,             ,             ,        , 29.92,        ,  16.2,       ,       ,        ,       ,       ,       ,       ,      ,      ,        ,   0,  GPS,    0.0, 117.95, 117.95, 136.975, 136.975,       ,       ,       ,      ,       ,       ,    2.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-10-18, 19:49:24,  +00:00,       ,             ,             ,        , 29.92,        ,  16.2,       ,       ,        ,       ,       ,       ,       ,      ,      ,        ,   0,  GPS,    0.0, 117.95, 117.95, 136.975, 136.975,       ,       ,       ,      ,       ,       ,    2.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-10-18, 19:49:25,  +00:00,       ,             ,             ,        , 29.92,        ,  16.2,       ,       ,        ,       ,       ,       ,       ,      ,      ,        ,   0,  GPS,    0.0, 117.95, 117.95, 136.975, 136.975,       ,       ,       ,      ,       ,       ,    2.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-10-18, 19:49:26,  +00:00,       ,             ,             ,        , 29.92,        ,  16.2,       ,       ,        ,       ,       ,       ,       ,      ,      ,        ,   0,  GPS,    0.0, 117.95, 117.95, 136.975, 136.975,       ,       ,       ,      ,       ,       ,    2.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
