#airframe_info, log_version="1.00", airframe_name="Cessna 172S", unit_software_part_number="006-B0319-A3", unit_software_version="12.03", system_software_part_number="006-B0563-26", system_id="2499E77E9", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,  amps,   gals,   gals,      gph,   deg F,     psi,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  amp2,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2012-10-18, 15:36:08,  -05:00,       ,             ,             ,   664.8, 29.28,        ,  16.5,   0.00,       ,   28.76,       ,       ,       ,       ,      ,      ,  27.5,  27.5,  -7.4,  -0.0,  25.89,  26.42,     0.00,   62.39,    0.18,    0.0,   60.76,   60.90,   60.62,   60.76,   60.29,   60.35,   60.18,   60.35,        ,   0,  GPS,  176.4, 114.30, 108.40, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-10-18, 15:36:08,  -05:00,       ,             ,             ,   665.8, 29.28,        ,  16.5,   0.00,       ,   42.86,       ,       ,       ,       ,      ,      ,  27.5,  27.5,  -7.4,  -0.0,  25.94,  26.42,     0.00,   62.39,    0.18,    0.0,   60.76,   60.90,   60.62,   60.76,   60.29,   60.35,   60.18,   60.35,        ,   0,  GPS,  176.4, 114.30, 108.40, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-10-18, 15:36:09,  -05:00,       ,             ,             ,   666.8, 29.28,        ,  16.5,   0.00,       ,   58.78,       ,       ,       ,       ,      ,      ,  27.5,  27.5,  -7.4,  -0.0,  25.94,  26.42,     0.00,   62.39,    0.18,    0.0,   60.76,   60.90,   60.63,   60.79,   60.28,   60.39,   60.21,   60.35,        ,   0,  GPS,  176.4, 114.30, 108.40, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-10-18, 15:36:10,  -05:00,       ,             ,             ,   666.8, 29.28,        ,  16.5,   0.00,       ,   40.51,       ,       ,       ,       ,      ,      ,  27.5,  27.5,  -7.4,  -0.0,  25.99,  26.42,     0.00,   62.39,    0.17,    0.0,   60.71,   60.87,   60.60,   60.72,   60.29,   60.31,   60.16,   60.33,        ,   0,  GPS,  176.4, 114.30, 108.40, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-10-18, 15:36:11,  -05:00,       ,             ,             ,   666.8, 29.28,        ,  16.5,   0.00,       ,   14.11,       ,       ,       ,       ,      ,      ,  27.5,  27.5,  -7.4,  -0.0,  25.99,  26.42,     0.00,   62.39,    0.17,    0.0,   60.68,   60.77,   60.53,   60.68,   60.21,   60.28,   60.14,   60.27,        ,   0,  GPS,  176.4, 114.30, 108.40, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-10-18, 15:36:12,  -05:00,       ,             ,             ,   665.8, 29.28,        ,  16.5,   0.00,       ,   -5.85,       ,       ,       ,       ,      ,      ,  27.5,  27.5,  -7.4,  -0.0,  26.05,  26.42,     0.00,   62.39,    0.17,    0.0,   60.75,   60.82,   60.62,   60.75,   60.28,   60.35,   60.18,   60.35,        ,   0,  GPS,  176.4, 114.30, 108.40, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-10-18, 15:36:13,  -05:00,       ,             ,             ,   665.8, 29.28,        ,  16.5,   0.00,       ,   -9.31,       ,       ,       ,       ,      ,      ,  27.5,  27.5,  -7.4,  -0.0,  26.13,  26.42,     0.00,   62.39,    0.17,    0.0,   60.76,   60.87,   60.62,   60.76,   60.32,   60.38,   60.21,   60.35,        ,   0,  GPS,  176.4, 114.30, 108.40, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-10-18, 15:36:14,  -05:00,       ,             ,             ,   665.8, 29.28,        ,  16.5,   0.00,       ,   -2.50,       ,       ,       ,       ,      ,      ,  27.5,  27.5,  -7.4,  -0.0,  26.13,  26.42,     0.00,   62.39,    0.17,    0.0,   60.76,   60.85,   60.63,   60.76,   60.31,   60.36,   60.21,   60.35,        ,   0,  GPS,  176.4, 114.30, 108.40, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-10-18, 15:36:15,  -05:00,       ,             ,             ,   665.8, 29.28,        ,  16.5,   0.00,       ,   -0.29,       ,       ,       ,       ,      ,      ,  27.5,  27.5,  -7.4,  -0.0,  26.13,  26.42,     0.00,   62.39,    0.17,    0.0,   60.76,   60.88,   60.63,   60.76,   60.34,   60.36,   60.15,   60.35,        ,   0,  GPS,  176.4, 114.30, 108.40, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-10-18, 15:36:16,  -05:00,       ,             ,             ,   666.8, 29.28,        ,  16.5,   0.00,       ,   -0.01,       ,       ,       ,       ,      ,      ,  27.5,  27.5,  -7.4,  -0.0,  26.18,  26.42,     0.00,   62.39,    0.17,    0.0,   60.76,   60.87,   60.63,   60.76,   60.35,   60.36,   60.21,   60.35,        ,   0,  GPS,  176.4, 114.30, 108.40, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-10-18, 15:36:17,  -05:00,       ,             ,             ,   666.8, 29.28,        ,  16.5,   0.00,       ,   -0.00,       ,       ,       ,       ,      ,      ,  27.5,  27.5,  -7.4,  -0.0,  26.18,  26.42,     0.00,   62.39,    0.18,    0.0,   60.71,   60.82,   60.60,   60.71,   60.31,   60.36,   60.16,   60.32,        ,   0,  GPS,  176.4, 114.30, 108.40, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-10-18, 15:36:18,  -05:00,       ,             ,             ,   666.8, 29.28,        ,  16.5,   0.00,       ,    2.48,       ,       ,       ,       ,      ,      ,  27.5,  27.5,  -7.5,  -0.0,  26.18,  26.42,     0.00,   62.39,    0.17,    0.0,   60.68,   60.74,   60.53,   60.68,   60.25,   60.30,   60.14,   60.25,        ,   0,  GPS,  176.4, 114.30, 108.40, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-10-18, 15:36:19,  -05:00,       ,             ,             ,   666.8, 29.28,        ,  16.5,   0.00,       ,    1.71,       ,       ,       ,       ,      ,      ,  27.5,  27.5,  -7.5,  -0.0,  26.18,  26.42,     0.00,   62.39,    0.18,    0.0,   60.75,   60.84,   60.62,   60.75,   60.29,   60.36,   60.20,   60.35,        ,   0,  GPS,  176.4, 114.30, 108.40, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-10-18, 15:36:20,  -05:00,       ,             ,             ,   666.8, 29.28,        ,  16.5,   0.00,       ,    9.95,       ,       ,       ,       ,      ,      ,  27.5,  27.5,  -7.4,  -0.0,  26.23,  26.42,     0.00,   62.39,    0.17,    0.0,   60.76,   60.84,   60.64,   60.76,   60.33,   60.36,   60.19,   60.36,        ,   0,  GPS,  176.4, 114.30, 108.40, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-10-18, 15:36:22,  -05:00,       ,             ,             ,   666.8, 29.28,        ,  16.5,   0.00,       ,    1.84,       ,       ,       ,       ,      ,      ,  27.6,  27.5,  -7.3,  -0.0,  26.23,  26.42,     0.00,   62.39,    0.17,    0.0,   60.76,   60.88,   60.63,   60.76,   60.31,   60.40,   60.21,   60.35,        ,   0,  GPS,  176.4, 114.30, 108.40, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-10-18, 15:36:23,  -05:00,       ,             ,             ,   665.8, 29.28,        ,  16.5,   0.00,       ,  -14.98,       ,       ,       ,       ,      ,      ,  27.6,  27.5,  -7.3,  -0.0,  26.29,  26.42,     0.00,   62.39,    0.17,    0.0,   60.76,   60.88,   60.63,   60.76,   60.35,   60.42,   60.21,   60.35,        ,   0,  GPS,  176.4, 114.30, 108.40, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-10-18, 15:36:24,  -05:00,       ,             ,             ,   665.8, 29.28,        ,  16.5,   0.00,       ,  -31.05,       ,       ,       ,       ,      ,      ,  27.6,  27.5,  -7.3,  -0.0,  26.29,  26.42,     0.00,   62.39,    0.17,    0.0,   60.76,   60.85,   60.63,   60.76,   60.33,   60.39,   60.21,   60.35,        ,   0,  GPS,  176.4, 114.30, 108.40, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-10-18, 15:36:25,  -05:00,       ,             ,             ,   665.8, 29.28,        ,  16.5,   0.00,       ,  -14.52,       ,       ,       ,       ,      ,      ,  27.6,  27.5,  -7.3,  -0.0,  26.29,  26.42,     0.00,   62.39,    0.17,    0.0,   60.76,   60.84,   60.63,   60.79,   60.32,   60.39,   60.21,   60.35,        ,   0,  GPS,  176.4, 114.30, 108.40, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-10-18, 15:36:26,  -05:00,       ,             ,             ,   665.8, 29.28,        ,  16.5,   0.00,       ,   -0.77,       ,       ,       ,       ,      ,      ,  27.6,  27.5,  -7.3,  -0.0,  26.29,  26.42,     0.00,   62.39,    0.17,    0.0,   60.76,   60.82,   60.63,   60.77,   60.35,   60.40,   60.21,   60.35,        ,   0,  GPS,  176.4, 114.30, 108.40, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-10-18, 15:36:27,  -05:00,       ,             ,             ,   665.8, 29.28,        ,  16.5,   0.00,       ,   -0.02,       ,       ,       ,       ,      ,      ,  27.6,  27.5,  -7.2,  -0.0,  26.29,  26.42,     0.00,   62.39,    0.17,    0.0,   60.76,   60.85,   60.63,   60.76,   60.35,   60.43,   60.21,   60.35,        ,   0,  GPS,  176.4, 114.30, 108.40, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-10-18, 15:36:28,  -05:00,       ,             ,             ,   664.8, 29.28,        ,  16.5,   0.00,       ,  -14.14,       ,       ,       ,       ,      ,      ,  27.6,  27.5,  -7.3,  -0.0,  26.29,  26.42,     0.00,   62.39,    0.17,    0.0,   60.76,   60.87,   60.63,   60.76,   60.35,   60.45,   60.21,   60.37,        ,   0,  GPS,  176.4, 114.30, 108.40, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-10-18, 15:36:29,  -05:00,       ,             ,             ,   664.8, 29.28,        ,  16.5,   0.00,       ,  -15.94,       ,       ,       ,       ,      ,      ,  27.6,  27.6,  -7.2,  -0.0,  26.29,  26.42,     0.00,   62.39,    0.17,    0.0,   60.76,   60.84,   60.69,   60.76,   60.34,   60.42,   60.21,   60.36,        ,   0,  GPS,  176.4, 114.30, 108.40, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-10-18, 15:36:30,  -05:00,       ,             ,             ,   664.8, 29.28,        ,  16.5,   0.00,       ,   -5.30,       ,       ,       ,       ,      ,      ,  27.6,  27.6,  -7.2,  -0.0,  26.34,  26.42,     0.00,   62.39,    0.17,    0.0,   60.76,   60.87,   60.63,   60.76,   60.31,   60.43,   60.21,   60.35,        ,   0,  GPS,  176.4, 114.30, 108.40, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-10-18, 15:36:31,  -05:00,       ,             ,             ,   665.8, 29.28,        ,  16.5,   0.00,       ,   13.93,       ,       ,       ,       ,      ,      ,  27.6,  27.6,  -7.2,  -0.0,  26.29,  26.42,     0.00,   62.39,    0.17,    0.0,   60.76,   60.81,   60.63,   60.76,   60.34,   60.39,   60.21,   60.35,        ,   0,  GPS,  176.4, 114.30, 108.40, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-10-18, 15:36:32,  -05:00,       ,             ,             ,   665.8, 29.28,        ,  16.5,   0.00,       ,   15.93,       ,       ,       ,       ,      ,      ,  27.6,  27.6,  -7.2,  -0.0,  26.29,  26.42,     0.00,   62.39,    0.17,    0.0,   60.76,   60.81,   60.64,   60.76,   60.35,   60.44,   60.21,   60.35,        ,   0,  GPS,  176.4, 114.30, 108.40, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-10-18, 15:36:33,  -05:00,       ,             ,             ,   666.8, 29.28,        ,  16.5,   0.00,       ,   25.91,       ,       ,       ,       ,      ,      ,  27.6,  27.6,  -7.2,  -0.0,  26.34,  26.42,     0.00,   62.39,    0.17,    0.0,   60.76,   60.84,   60.63,   60.76,   60.35,   60.46,   60.21,   60.35,        ,   0,  GPS,  176.4, 114.30, 108.40, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-10-18, 15:36:34,  -05:00,       ,             ,             ,   667.8, 29.28,        ,  16.5,   0.00,       ,   31.88,       ,       ,       ,       ,      ,      ,  27.6,  27.6,  -7.2,  -0.0,  26.29,  26.42,     0.00,   62.39,    0.17,    0.0,   60.76,   60.82,   60.65,   60.76,   60.35,   60.43,   60.21,   60.35,        ,   0,  GPS,  176.4, 114.30, 108.40, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-10-18, 15:36:35,  -05:00,       ,             ,             ,   668.8, 29.28,        ,  16.5,   0.00,       ,   45.75,       ,       ,       ,       ,      ,      ,  27.6,  27.6,  -7.2,  -0.0,  26.34,  26.42,     0.00,   62.39,    0.17,    0.0,   60.76,   60.85,   60.64,   60.77,   60.35,   60.43,   60.21,   60.35,        ,   0,  GPS,  176.4, 114.30, 108.40, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-10-18, 15:36:36,  -05:00,       ,             ,             ,   669.8, 29.28,        ,  16.5,   0.00,       ,   49.74,       ,       ,       ,       ,      ,      ,  27.6,  27.6,  -7.1,  -0.0,  26.34,  26.42,     0.00,   62.39,    0.17,    0.0,   60.76,   60.83,   60.63,   60.76,   60.35,   60.46,   60.21,   60.35,        ,   0,  GPS,  176.4, 114.30, 108.40, 118.400, 123.300,  
