#airframe_info, log_version="1.00", airframe_name="Cessna 172S", unit_software_part_number="006-B0319-A3", unit_software_version="12.03", system_software_part_number="006-B0563-26", system_id="24C496A4E", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,  amps,   gals,   gals,      gph,   deg F,     psi,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  amp2,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2012-10-21, 15:09:27,  -05:00,       ,   47.9485855,  -97.1726151,   787.0, 29.85,   840.1,   9.8,   0.00,   0.00,  -21.63,   1.58,  -0.14,  -0.00,  -0.02,   0.2, 264.5,  27.6,  27.6,   4.7,   0.7,  23.60,  22.42,     3.22,   99.41,   66.95, 1215.4,   94.59,   83.23,   98.82,   88.39, 1031.40,  999.32,  999.93, 1000.90,   752.3,   0,  GPS,  174.0, 114.30, 116.20, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  59.0,       
2012-10-21, 15:09:27,  -05:00,       ,   47.9485855,  -97.1726151,   788.0, 29.85,   840.7,   9.8,   0.00,   0.00,  -18.27,   1.60,  -0.15,   0.00,  -0.02,   0.2, 264.5,  27.6,  27.6,   4.7,   0.7,  23.60,  22.42,     3.20,   99.42,   66.96, 1217.3,   94.86,   83.49,   99.15,   88.69, 1032.13, 1000.86, 1001.45, 1002.23,   752.9,   0,  GPS,  174.0, 114.30, 116.20, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  59.0,       
2012-10-21, 15:09:29,  -05:00,       ,   47.9485855,  -97.1726227,   787.0, 29.85,   841.9,   9.8,   0.00,   0.00,   -5.21,   1.56,  -0.16,   0.02,  -0.01,   0.2, 264.5,  27.6,  27.6,   4.7,   0.7,  23.52,  22.42,     3.08,   99.45,   67.09, 1222.6,   95.47,   84.16,   99.85,   89.27, 1034.02, 1002.99, 1004.33, 1005.60,   754.1,   0,  GPS,  174.0, 114.30, 116.20, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  59.0,       
2012-10-21, 15:09:29,  -05:00,       ,   47.9485855,  -97.1726227,   787.0, 29.85,   842.2,   9.8,   0.00,   0.00,  -15.04,   1.57,  -0.16,  -0.00,   0.01,   0.1, 264.5,  27.6,  27.6,   4.4,   0.7,  23.20,  22.42,     3.10,   99.49,   67.23, 1227.7,   96.13,   84.86,  100.57,   89.91, 1037.25, 1004.51, 1007.79, 1008.90,   754.4,   0,  GPS,  174.0, 114.30, 116.20, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  59.0,       
2012-10-21, 15:09:30,  -05:00,       ,   47.9485855,  -97.1726227,   787.0, 29.85,   842.8,   9.8,   0.00,   0.00,   -5.77,   1.57,  -0.15,  -0.01,  -0.00,   0.1, 264.5,  27.5,  27.6,   4.2,   0.7,  22.97,  22.36,     3.05,   99.51,   67.21, 1231.3,   96.80,   85.60,  101.31,   90.57, 1040.63, 1007.15, 1012.07, 1012.30,   755.0,   0,  GPS,  174.0, 114.30, 116.20, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  59.0,       
2012-10-21, 15:09:31,  -05:00,       ,   47.9485855,  -97.1726227,   788.0, 29.85,   842.6,   9.8,   0.00,   0.00,   12.82,   1.64,  -0.10,  -0.00,   0.03,   0.2, 264.5,  27.5,  27.6,   4.1,   0.6,  22.91,  22.36,     2.98,   99.54,   67.33, 1236.2,   97.44,   86.31,  102.04,   91.18, 1043.27, 1010.35, 1016.72, 1016.38,   754.8,   0,  GPS,  174.0, 114.30, 116.20, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  59.0,       
2012-10-21, 15:09:32,  -05:00,       ,   47.9485855,  -97.1726227,   786.0, 29.85,   842.9,   9.8,   0.00,   0.00,  -22.94,   1.57,  -0.10,   0.01,  -0.00,   0.1, 264.5,  27.5,  27.6,   4.3,   0.7,  22.87,  22.36,     2.90,   99.56,   67.41, 1242.0,   98.08,   87.00,  102.75,   91.82, 1046.26, 1012.85, 1021.64, 1021.30,   755.0,   0,  GPS,  174.0, 114.30, 116.20, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   3.9,     3D, 3704,      ,       ,  59.0,       
2012-10-21, 15:09:33,  -05:00,       ,   47.9485855,  -97.1726227,   787.0, 29.85,   842.5,   9.8,   0.00,   0.00,  -20.46,   1.53,  -0.14,   0.01,  -0.02,   0.1, 264.5,  27.5,  27.6,   4.0,   0.6,  22.95,  22.32,     2.87,   99.58,   67.52, 1249.3,   98.80,   87.74,  103.55,   92.51, 1048.70, 1014.97, 1027.68, 1027.30,   754.7,   0,  GPS,  174.0, 114.30, 116.20, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  59.0,       
2012-10-21, 15:09:34,  -05:00,       ,   47.9485855,  -97.1726227,   789.0, 29.85,   857.5,   9.8,   0.00,   0.00,   34.20,   1.54,  -0.15,   0.01,   0.04,   0.1, 264.5,  27.6,  27.6,   4.3,   0.7,  23.20,  22.32,     2.76,   99.60,   67.49, 1249.5,   99.52,   88.54,  104.35,   93.23, 1051.92, 1017.95, 1034.23, 1033.49,   769.7,   0,  GPS,  174.0, 114.30, 116.20, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  72.0,       
2012-10-21, 15:09:35,  -05:00,       ,   47.9485893,  -97.1726227,   789.0, 29.85,   856.6,   9.8,   0.00,   0.00,   39.77,   1.55,  -0.16,  -0.00,  -0.00,   0.1, 264.5,  27.5,  27.5,   4.2,   0.6,  23.37,  22.32,     2.67,   99.62,   67.58, 1251.1,  100.21,   89.24,  105.11,   93.90, 1057.41, 1021.87, 1042.46, 1040.34,   768.8,   0,  GPS,  174.0, 114.30, 116.20, 118.400, 123.300,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  72.0,       
