#airframe_info, log_version="1.00", airframe_name="Cessna 172S", unit_software_part_number="006-B0319-A3", unit_software_version="12.03", system_software_part_number="006-B0563-26", system_id="24B4D9F70", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,  amps,   gals,   gals,      gph,   deg F,     psi,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  amp2,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2012-10-20, 07:08:47,  -05:00,       ,   47.9485054,  -97.1730728,   862.4, 29.72,   837.0,   5.5,   0.00,   0.00,   -2.66,   2.05,   0.48,  -0.01,   0.01, 180.3, 265.6,  28.2,  28.1,   4.6,   0.3,  24.00,  24.00,     2.81,   55.55,   63.26, 1099.8,   55.01,   54.32,   54.28,   51.74,  956.53,  971.63,  948.43,  960.93,   749.3,   0,  GPS,  354.0, 109.10, 109.10, 118.400, 124.575,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D,  556,      ,       ,  63.0,       
2012-10-20, 07:08:47,  -05:00,       ,   47.9485054,  -97.1730728,   862.4, 29.72,   837.1,   5.5,   0.00,   0.00,  -11.29,   2.05,   0.48,  -0.01,   0.01, 180.3, 265.6,  28.2,  28.1,   4.6,   0.3,  24.00,  24.00,     2.78,   55.58,   63.60, 1101.7,   55.45,   54.77,   54.67,   52.07,  958.46,  973.37,  951.18,  963.26,   749.3,   0,  GPS,  354.0, 109.10, 109.10, 118.400, 124.575,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D,  556,      ,       ,  63.0,       
2012-10-20, 07:08:48,  -05:00,       ,   47.9485054,  -97.1730728,   862.4, 29.72,   837.2,   5.5,   0.00,   0.00,  -15.81,   2.05,   0.47,  -0.01,   0.00, 180.3, 265.6,  28.2,  28.1,   4.5,   0.3,  24.00,  24.00,     2.81,   55.62,   63.90, 1105.8,   56.06,   55.34,   55.32,   52.58,  960.85,  977.06,  954.43,  966.49,   749.4,   0,  GPS,  354.0, 109.10, 109.10, 118.400, 124.575,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D,  556,      ,       ,  63.0,       
2012-10-20, 07:08:49,  -05:00,       ,   47.9485054,  -97.1730728,   861.4, 29.72,   837.2,   5.5,   0.00,   0.00,  -19.99,   2.04,   0.47,  -0.01,  -0.01, 180.3, 265.6,  28.2,  28.1,   4.5,   0.3,  24.00,  24.00,     2.81,   55.68,   64.09, 1117.6,   56.69,   56.04,   55.92,   53.08,  962.78,  979.69,  957.35,  970.44,   749.4,   0,  GPS,  354.0, 109.10, 109.10, 118.400, 124.575,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D,  556,      ,       ,  63.0,       
2012-10-20, 07:08:50,  -05:00,       ,   47.9485054,  -97.1730881,   862.4, 29.72,   837.2,   5.5,   0.00,   0.00,   -2.05,   2.02,   0.46,  -0.01,  -0.01, 180.3, 265.6,  28.2,  28.1,   4.5,   0.3,  24.00,  24.00,     2.83,   55.72,   64.80, 1156.7,   57.36,   56.68,   56.55,   53.62,  966.53,  981.61,  961.21,  974.80,   749.4,   0,  GPS,  354.0, 109.10, 109.10, 118.400, 124.575,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D,  556,      ,       ,  63.0,       
2012-10-20, 07:08:51,  -05:00,       ,   47.9485130,  -97.1730728,   862.4, 29.72,   834.0,   5.5,   0.00,   0.00,    2.41,   2.04,   0.46,  -0.01,   0.03, 180.3, 265.6,  28.2,  28.1,   4.4,   0.3,  24.00,  24.00,     2.85,   55.77,   65.29, 1174.0,   57.99,   57.29,   57.21,   54.19,  972.19,  984.39,  967.87,  979.89,   746.2,   0,  GPS,  354.0, 109.10, 109.10, 118.400, 124.575,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D,  556,      ,       ,  64.0,       
2012-10-20, 07:08:52,  -05:00,       ,   47.9485130,  -97.1730728,   863.4, 29.72,   834.1,   5.5,   0.00,   0.00,   25.87,   2.04,   0.46,  -0.00,   0.02, 180.3, 265.6,  28.2,  28.1,   4.4,   0.3,  24.00,  24.00,     2.83,   55.82,   65.40, 1178.9,   58.65,   58.00,   57.83,   54.74,  978.67,  987.86,  974.83,  986.87,   746.3,   0,  GPS,  354.0, 109.10, 109.10, 118.400, 124.575,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D,  556,      ,       ,  64.0,       
2012-10-20, 07:08:53,  -05:00,       ,   47.9485130,  -97.1730728,   863.4, 29.72,   834.1,   5.5,   0.00,   0.00,   31.76,   2.04,   0.44,  -0.01,   0.05, 180.3, 265.6,  28.2,  28.1,   4.3,   0.3,  24.00,  24.00,     2.87,   55.87,   65.65, 1190.4,   59.35,   58.69,   58.50,   55.36,  985.22,  992.58,  981.27,  992.98,   746.3,   0,  GPS,  354.0, 109.10, 109.10, 118.400, 124.575,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D,  556,      ,       ,  64.0,       
2012-10-20, 07:08:54,  -05:00,       ,   47.9485130,  -97.1730728,   863.4, 29.72,   833.9,   5.5,   0.00,   0.00,   18.73,   2.04,   0.45,  -0.00,   0.02, 180.3, 265.6,  28.2,  28.1,   4.3,   0.3,  24.00,  24.00,     2.97,   55.91,   66.05, 1210.3,   60.04,   59.40,   59.20,   55.93,  991.75,  997.32,  987.33,  999.28,   746.1,   0,  GPS,  354.0, 109.10, 109.10, 118.400, 124.575,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D,  556,      ,       ,  64.0,       
2012-10-20, 07:08:55,  -05:00,       ,   47.9485130,  -97.1730728,   864.4, 29.72,   833.6,   5.5,   0.00,   0.00,   15.38,   2.02,   0.46,  -0.01,   0.01, 180.3, 265.6,  28.2,  28.1,   4.3,   0.3,  24.00,  24.00,     3.06,   55.96,   66.42, 1223.2,   60.77,   60.13,   59.90,   56.55,  998.98, 1002.22,  996.20, 1007.11,   745.8,   0,  GPS,  354.0, 109.10, 109.10, 118.400, 124.575,       ,       ,       ,      ,       ,       ,    3.5,       ,      ,       ,      ,      ,   0.0,     3D,  556,      ,       ,  69.5,       
