Lcl_Date,Lcl_Time,UTCOfst,AtvWpt,Latitude,Longitude,AltB,BaroA,AltMSL,OAT,IAS,GndSpd,VSpd,Pitch,Roll,LatAc,NormAc,HDG,TRK,volt1,volt2,amp1,amp2,FQtyL,FQtyR,E1_FFlow,E1_OilT,E1_OilP,E1_RPM,E1_CHT1,E1_CHT2,E1_CHT3,E1_CHT4,E1_EGT1,E1_EGT2,E1_EGT3,E1_EGT4,AltGPS,TAS,HSIS,CRS,NAV1,NAV2,COM1,COM2,HCDI,VCDI,WndSpd,WndDr,WptDst,WptBrg,MagVar,AfcsOn,RollM,PitchM,RollC,PichC,VSpdG,GPSfix,HAL,VAL,HPLwas,HPLfd,VPLwas
2017-05-04, 13:16:24,  -05:00,       ,   47.9482613,  -97.1726303,   839.2, 30.07,   837.9,  23.0,   0.00,   0.00,   -9.46,   2.42,   0.09,  -0.01,   0.00,   0.3, 266.6,  27.9,  27.9,   6.8,   0.4,  20.52,  20.55,     1.69,  139.97,   58.30,  936.2,  162.16,  146.90,  172.78,  170.61, 1118.65,  893.83, 1074.03,  997.64,   750.1,   0,  GPS,  346.7, 114.30, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.2,       ,      ,       ,      ,      ,  -3.9,     3D, 3704,      ,       , 145.0,       
2017-05-04, 13:16:25,  -05:00,       ,   47.9482651,  -97.1726303,   840.2, 30.07,   838.5,  23.0,   0.00,   0.00,  -11.64,   2.44,   0.07,  -0.01,   0.01,   0.4, 266.6,  27.9,  27.9,   7.1,   0.4,  20.52,  20.55,     1.69,  139.94,   58.31,  935.2,  162.40,  147.14,  173.07,  170.82, 1118.27,  894.43, 1073.05,  996.24,   750.7,   0,  GPS,  346.7, 114.30, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.2,       ,      ,       ,      ,      ,  -7.9,     3D, 3704,      ,       , 144.5,       
2017-05-04, 13:16:26,  -05:00,       ,   47.9482651,  -97.1726303,   842.2, 30.07,   840.4,  23.0,   0.00,   0.00,   27.95,   2.42,   0.04,   0.01,   0.00,   0.3, 266.6,  27.9,  27.9,   6.8,   0.4,  20.52,  20.55,     1.65,  139.87,   58.31,  934.7,  163.02,  147.61,  173.73,  171.36, 1117.30,  893.07, 1070.60,  992.92,   752.6,   0,  GPS,  346.7, 114.30, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.2,       ,      ,       ,      ,      ,  -3.9,     3D, 3704,      ,       , 144.0,       
2017-05-04, 13:16:27,  -05:00,       ,   47.9482651,  -97.1726303,   842.2, 30.07,   841.3,  23.0,   0.00,   0.00,   47.53,   2.43,   0.04,   0.02,  -0.01,   0.3, 266.6,  27.9,  27.9,   6.9,   0.4,  20.52,  20.55,     1.67,  139.81,   58.34,  936.7,  163.70,  148.05,  174.35,  171.91, 1116.15,  890.25, 1069.17,  989.67,   753.4,   0,  GPS,  346.7, 114.30, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.2,       ,      ,       ,      ,      ,  -3.9,     3D, 3704,      ,       , 143.5,       
2017-05-04, 13:16:28,  -05:00,       ,   47.9482651,  -97.1726303,   842.2, 30.07,   841.4,  23.0,   0.00,   0.00,   36.82,   2.41,   0.01,   0.00,  -0.01,   0.3, 266.6,  27.9,  27.9,   6.9,   0.4,  20.52,  20.60,     1.68,  139.74,   58.38,  943.3,  164.33,  148.44,  174.96,  172.42, 1116.00,  883.46, 1066.40,  987.20,   753.6,   0,  GPS,  346.7, 114.30, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.2,       ,      ,       ,      ,      ,  -3.9,     3D, 3704,      ,       , 143.5,       
2017-05-04, 13:16:29,  -05:00,       ,   47.9482651,  -97.1726303,   842.2, 30.07,   841.3,  23.0,   0.00,   0.00,   16.65,   2.41,   0.09,  -0.00,   0.01,   0.3, 266.6,  28.0,  27.9,   7.2,   0.4,  20.54,  20.55,     1.66,  139.67,   58.29,  940.4,  164.99,  148.88,  175.56,  172.99, 1115.87,  884.39, 1064.82,  985.34,   753.4,   0,  GPS,  346.7, 114.30, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.2,       ,      ,       ,      ,      ,  -3.9,     3D, 3704,      ,       , 143.5,       
2017-05-04, 13:16:30,  -05:00,       ,   47.9482651,  -97.1726303,   844.2, 30.07,   841.2,  23.0,   0.00,   0.00,   41.84,   2.40,   0.02,   0.00,  -0.01,   0.3, 266.6,  27.9,  27.9,   7.0,   0.4,  20.54,  20.55,     1.70,  139.61,   58.37,  945.3,  165.73,  149.37,  176.30,  173.61, 1114.47,  883.25, 1062.78,  983.20,   753.4,   0,  GPS,  346.7, 114.30, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.2,       ,      ,       ,      ,      ,  -3.9,     3D, 3704,      ,       , 143.5,       
2017-05-04, 13:16:31,  -05:00,       ,   47.9482689,  -97.1726303,   842.2, 30.07,   829.9,  23.0,   0.00,   0.00,    8.68,   2.38,   0.12,  -0.01,  -0.01,   0.3, 266.6,  27.9,  27.9,   6.8,   0.4,  20.54,  20.55,     1.71,  139.54,   58.51,  947.6,  166.42,  149.84,  176.92,  174.21, 1112.62,  881.77, 1060.82,  981.12,   742.1,   0,  GPS,  346.7, 114.30, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.2,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  65.5,       
2017-05-04, 13:16:32,  -05:00,       ,   47.9482689,  -97.1726303,   841.2, 30.07,   831.6,  23.0,   0.00,   0.00,  -33.44,   2.40,   0.09,   0.01,   0.01,   0.3, 266.6,  27.9,  27.9,   6.8,   0.4,  20.54,  20.55,     1.66,  139.48,   58.44,  942.0,  167.06,  150.26,  177.56,  174.73, 1112.82,  885.82, 1059.70,  979.18,   743.8,   0,  GPS,  346.7, 114.30, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.2,       ,      ,       ,      ,      ,  -3.9,     3D, 3704,      ,       ,  65.0,       
2017-05-04, 13:16:33,  -05:00,       ,   47.9482689,  -97.1726303,   840.2, 30.07,   831.1,  23.0,   0.00,   0.00,  -46.79,   2.44,   0.12,  -0.01,   0.00,   0.3, 266.6,  27.9,  27.9,   6.7,   0.4,  20.54,  20.55,     1.66,  139.42,   58.34,  936.2,  167.76,  150.64,  178.16,  175.27, 1114.54,  900.52, 1059.42,  976.81,   743.3,   0,  GPS,  346.7, 114.30, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.2,       ,      ,       ,      ,      ,   3.9,     3D, 3704,      ,       ,  65.0,       
2017-05-04, 13:16:34,  -05:00,       ,   47.9482689,  -97.1726303,   841.2, 30.07,   831.3,  23.0,   0.00,   0.00,  -24.65,   2.44,   0.13,   0.01,  -0.00,   0.3, 266.6,  28.0,  27.9,   7.1,   0.4,  20.57,  20.60,     1.65,  139.35,   58.35,  940.6,  168.43,  151.06,  178.79,  175.83, 1115.23,  901.81, 1058.53,  974.33,   743.5,   0,  GPS,  346.7, 114.30, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.2,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  64.5,       
2017-05-04, 13:16:35,  -05:00,       ,   47.9482689,  -97.1726303,   842.2, 30.07,   832.6,  23.0,   0.00,   0.00,    7.76,   2.44,   0.11,   0.01,   0.00,   0.3, 266.6,  27.9,  27.9,   6.9,   0.4,  20.57,  20.60,     1.68,  139.29,   58.36,  940.9,  169.19,  151.57,  179.54,  176.49, 1116.15,  896.04, 1057.44,  972.45,   744.8,   0,  GPS,  346.7, 114.30, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.2,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  72.5,       
2017-05-04, 13:16:36,  -05:00,       ,   47.9482689,  -97.1726303,   841.2, 30.07,   833.0,  23.0,   0.00,   0.00,  -15.42,   2.48,   0.10,  -0.01,   0.00,   0.3, 266.6,  27.9,  27.9,   6.8,   0.4,  20.57,  20.60,     1.63,  139.23,   58.36,  945.3,  169.90,  152.01,  180.20,  177.10, 1117.19,  894.35, 1056.20,  971.65,   745.2,   0,  GPS,  346.7, 114.30, 114.30, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.2,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  72.0,       
