Latitude,Longitude,AltB,BaroA,OAT,GndSpd,VSpd,Pitch,Roll,LatAc,NormAc,HDG,TRK,volt1,volt2,amp1,amp2,FQtyL,FQtyR,E1_FFlow,E1_OilT,E1_OilP,E1_RPM,E1_CHT2,E1_CHT4,E1_EGT2,E1_EGT4,TAS,CRS,NAV1,NAV2,COM1,COM2,MagVar,VSpdG,HAL,HPLfd
47.9482841,-97.1730042,829.9,30.01,25.8,0.0,15.52,1.96,-0.56,0.01,0.0,3.7,267.0,27.9,27.9,6.9,0.5,23.72,23.87,2.26,150.41,62.13,1202.9,140.02,170.06,1015.05,1063.89,0.0,311.9,114.3,114.3,118.4,123.3,3.2,3.9,3704.0,146.5
47.9482841,-97.1730042,829.9,30.01,25.8,0.0,1.81,1.94,-0.57,0.01,-0.01,3.7,267.0,28.0,27.9,7.1,0.6,23.72,23.87,2.3,150.37,62.04,1200.6,140.38,170.38,1016.81,1066.87,0.0,311.9,114.3,114.3,118.4,123.3,3.2,3.9,3704.0,146.5
47.9482841,-97.1730042,827.9,30.01,25.8,0.0,-41.6,1.96,-0.54,0.02,-0.0,3.8,267.0,27.9,27.9,6.8,0.6,23.72,23.82,2.24,150.31,62.03,1200.3,140.24,170.36,1020.8,1071.54,0.0,311.9,114.3,114.3,118.4,123.3,3.2,3.9,3704.0,146.5
47.9482765,-97.1730118,828.9,30.01,25.5,0.0,-21.55,1.96,-0.56,0.01,0.02,3.7,267.0,27.9,27.9,6.8,0.5,23.72,23.87,2.24,150.24,61.96,1199.1,140.41,170.56,1024.43,1076.68,0.0,311.9,114.3,114.3,118.4,123.3,3.2,0.0,3704.0,106.5
47.9482765,-97.1730042,828.9,30.01,25.5,0.0,-7.71,1.93,-0.52,0.01,-0.0,3.8,267.0,27.9,27.9,6.7,0.5,23.72,23.82,2.22,150.18,62.06,1201.7,140.92,171.14,1028.32,1080.81,0.0,311.9,114.3,114.3,118.4,123.3,3.2,0.0,3704.0,106.0
47.9482765,-97.1730042,830.9,30.01,25.5,0.0,30.57,1.97,-0.56,0.01,0.0,3.7,267.0,28.0,27.9,6.9,0.5,23.72,23.82,2.23,150.11,62.11,1204.0,141.43,171.66,1031.04,1084.74,0.0,311.9,114.3,114.3,118.4,123.3,3.2,0.0,3704.0,106.0
47.9482689,-97.1730042,828.9,30.01,25.5,0.0,6.48,1.97,-0.58,0.01,-0.0,3.7,267.0,28.0,27.9,6.9,0.5,23.7,23.87,2.22,150.04,62.11,1203.7,141.87,172.19,1035.04,1087.88,0.0,311.9,114.3,114.3,118.4,123.3,3.2,3.9,3704.0,106.0
47.9482689,-97.1730042,827.9,30.01,25.5,0.0,-35.53,1.92,-0.55,0.01,-0.03,3.7,267.0,27.9,27.9,6.7,0.5,23.7,23.82,2.23,149.97,62.16,1203.2,142.36,172.72,1038.6,1090.66,0.0,311.9,114.3,114.3,118.4,123.3,3.2,0.0,3704.0,106.0
47.9482689,-97.1730042,828.9,30.01,25.5,0.0,-26.55,1.89,-0.59,0.01,-0.02,3.7,267.0,27.9,27.9,6.6,0.5,23.7,23.82,2.21,149.9,62.05,1198.6,142.84,173.24,1040.81,1093.47,0.0,311.9,114.3,114.3,118.4,123.3,3.2,0.0,3704.0,106.0
47.9482651,-97.1730042,828.9,30.01,25.5,0.0,5.64,1.92,-0.59,0.0,-0.01,3.7,267.0,27.9,27.9,6.6,0.5,23.7,23.82,2.22,149.83,62.12,1199.5,143.43,173.87,1042.34,1096.0,0.0,311.9,114.3,114.3,118.4,123.3,3.2,0.0,3704.0,59.5
47.9482651,-97.1730118,828.9,30.01,25.5,0.0,13.05,1.92,-0.54,0.01,0.01,3.7,267.0,28.0,27.9,6.7,0.5,23.7,23.82,2.21,149.76,62.05,1197.6,143.95,174.44,1043.87,1097.5,0.0,311.9,114.3,114.3,118.4,123.3,3.2,-3.9,3704.0,111.0
47.9482651,-97.1730118,827.9,30.01,25.2,0.0,-12.65,1.94,-0.55,0.01,0.02,3.7,267.0,28.0,27.9,6.7,0.5,23.72,23.82,2.22,149.68,62.11,1199.4,144.43,174.99,1047.08,1099.42,0.0,311.9,114.3,114.3,118.4,123.3,3.2,0.0,3704.0,111.0
47.9482651,-97.1730118,827.9,30.01,25.2,0.0,-22.29,1.92,-0.55,0.01,-0.02,3.7,267.0,27.9,27.9,6.5,0.5,23.72,23.82,2.21,149.61,62.19,1205.8,144.94,175.56,1048.88,1101.81,0.0,311.9,114.3,114.3,118.4,123.3,3.2,0.0,3704.0,111.0
47.9482689,-97.1730118,826.9,30.01,25.2,0.0,-27.67,1.92,-0.53,0.01,-0.01,3.7,267.0,27.9,27.9,6.5,0.5,23.74,23.87,2.23,149.53,62.11,1205.2,145.46,176.13,1050.18,1103.79,0.0,311.9,114.3,114.3,118.4,123.3,3.2,0.0,3704.0,108.0
47.9482689,-97.1730118,826.9,30.01,25.2,0.0,-19.98,1.92,-0.55,0.01,0.01,3.7,267.0,27.9,27.9,6.4,0.4,23.74,23.82,2.22,149.46,62.07,1200.4,146.04,176.79,1052.67,1104.92,0.0,311.9,114.3,114.3,118.4,123.3,3.2,-3.9,3704.0,151.0
47.9482803,-97.1730118,826.9,30.01,25.2,0.0,-4.8,1.87,-0.57,0.02,-0.04,3.7,267.0,28.0,27.9,6.7,0.4,23.74,23.87,2.21,149.38,62.08,1201.9,146.6,177.4,1055.01,1106.0,0.0,311.9,114.3,114.3,118.4,123.3,3.2,-3.9,3704.0,142.5
47.9482841,-97.1730194,827.9,30.01,25.2,0.0,-0.18,1.91,-0.57,0.02,0.02,3.7,267.0,28.0,27.9,6.6,0.5,23.74,23.82,2.22,149.3,62.03,1200.7,147.1,177.98,1058.0,1108.18,0.0,311.9,114.3,114.3,118.4,123.3,3.2,0.0,3704.0,138.5
47.9482918,-97.1730194,827.9,30.01,25.2,0.0,13.46,1.91,-0.55,0.0,-0.01,3.7,267.0,27.9,27.9,6.3,0.4,23.74,23.82,2.21,149.22,62.1,1203.7,147.64,178.61,1059.35,1110.58,0.0,311.9,114.3,114.3,118.4,123.3,3.2,0.0,3704.0,136.0
47.9482918,-97.1730118,828.9,30.01,25.2,0.0,22.97,1.92,-0.52,0.0,-0.01,3.7,267.0,27.9,27.9,6.4,0.4,23.74,23.82,2.22,149.14,62.14,1205.9,148.19,179.18,1060.31,1112.88,0.0,311.9,114.3,114.3,118.4,123.3,3.2,0.0,3704.0,133.5
