AltMSL,E1 RPM,E1 FFlow,E1 CHT1,E1 EGT1,NormAc,IAS,anomaly_flag
1632.5,2533.1,12.9,362.98,1336.83,-0.05,83.9,1
1631.2,2541.1,12.93,363.53,1344.52,0.01,86.19,1
1629.5,2532.3,12.37,364.12,1351.51,-0.1,86.74,1
1627.0,2498.0,11.16,365.09,1362.85,0.05,90.23,1
1625.7,2500.7,11.07,365.6,1370.04,0.02,91.26,1
1625.1,2494.7,11.06,366.09,1375.05,0.06,91.78,1
1626.1,2498.5,11.03,366.47,1379.43,0.13,92.25,1
1629.3,2497.2,11.12,367.03,1383.48,-0.03,92.09,1
1632.0,2513.7,11.06,367.53,1386.23,-0.15,93.83,1
1632.5,2508.4,11.02,367.99,1388.73,0.06,94.45,1
1632.5,2512.5,11.06,368.32,1391.09,-0.15,94.94,1
1629.4,2516.1,11.02,368.85,1393.05,0.02,95.6,1
1627.7,2515.7,11.05,369.29,1394.05,-0.05,95.48,1
1625.2,2522.6,11.13,369.7,1395.23,0.05,96.93,1
1624.8,2527.6,11.03,370.09,1396.63,-0.05,97.19,1
1624.5,2525.3,11.05,370.48,1398.33,-0.07,98.02,1
1625.2,2535.4,11.16,370.85,1399.88,0.06,98.79,1
1627.6,2533.9,11.01,371.2,1400.39,0.08,97.37,1
1631.7,2524.0,11.1,371.55,1399.95,0.0,96.4,1
1637.6,2523.2,11.12,371.89,1399.77,0.07,97.07,1
1641.6,2522.7,10.84,372.19,1399.73,0.04,97.38,1
1646.7,2532.8,11.01,372.5,1400.35,0.09,100.88,1
1653.0,2541.8,11.01,372.83,1400.68,0.21,100.12,1
1665.2,2524.6,11.06,373.05,1401.0,0.25,97.63,1
1686.4,2517.6,10.93,373.36,1400.35,0.18,97.33,1
1711.5,2509.7,10.88,373.58,1400.57,-0.2,94.11,1
1735.8,2487.0,10.78,373.86,1400.67,-0.42,91.94,1
1744.7,2471.4,10.64,374.28,1400.17,-0.1,89.97,1
1744.2,2470.8,10.64,374.45,1400.39,-0.13,89.41,1
1742.9,2473.7,10.76,374.68,1399.52,-0.03,90.31,1
