AltMSL,E1 RPM,E1 FFlow,E1 CHT1,E1 EGT1,NormAc,IAS,anomaly_flag
841.4,1046.9,1.9,278.7,1126.05,0.01,0.0,0
841.5,1047.3,1.9,279.09,1126.34,-0.01,0.0,0
841.5,1048.3,1.88,279.35,1127.05,-0.02,0.0,0
841.0,1046.1,1.89,279.56,1127.53,0.01,0.0,0
839.2,1043.3,1.91,279.88,1127.98,-0.02,0.0,0
839.1,1040.0,1.86,280.21,1128.67,-0.01,0.0,0
839.0,1045.4,1.87,280.61,1129.25,-0.01,0.0,0
838.9,1051.0,1.89,280.82,1129.28,-0.02,0.0,0
838.9,1046.6,1.9,281.07,1128.99,-0.01,0.0,0
839.6,1045.2,1.87,281.39,1128.2,-0.01,0.0,0
841.1,1047.5,1.88,281.69,1126.92,-0.04,0.0,0
841.3,1052.2,1.93,282.05,1127.04,0.02,0.0,0
841.5,1045.9,1.89,282.38,1127.54,-0.02,0.0,0
841.7,1046.1,1.89,282.67,1128.07,-0.01,0.0,0
841.8,1050.4,1.88,282.93,1128.48,0.01,0.0,0
841.5,1046.6,1.87,283.23,1128.93,-0.02,0.0,0
839.8,1047.0,1.89,283.49,1128.42,-0.01,0.0,0
839.7,1050.0,1.88,283.78,1128.61,-0.0,0.0,0
839.7,1055.2,1.94,284.1,1128.25,-0.0,0.0,0
839.7,1047.4,1.92,284.23,1127.99,0.02,0.0,0
839.7,1050.0,1.88,284.63,1128.29,0.01,0.0,0
842.1,1051.3,1.88,285.19,1126.94,-0.0,0.0,0
842.2,1041.1,1.87,285.47,1126.28,0.0,0.0,0
842.2,1039.1,1.87,285.75,1126.28,0.01,0.0,0
842.2,1048.8,1.88,285.95,1127.18,-0.04,0.0,0
842.1,1046.7,1.9,286.29,1127.92,0.01,0.0,0
841.6,1048.0,1.84,286.55,1128.44,0.01,0.0,0
839.3,1056.3,1.87,286.81,1127.83,-0.01,0.0,0
839.1,1052.9,1.86,287.04,1126.77,0.0,0.0,0
838.8,1054.7,1.88,287.31,1125.83,-0.0,0.0,0
