AltMSL,E1 RPM,E1 FFlow,E1 CHT1,E1 EGT1,NormAc,IAS,anomaly_flag
1880.2,2578.8,14.6,362.16,1324.58,0.0,86.79,1
1890.6,2567.6,14.58,362.56,1325.67,-0.02,86.55,1
1901.8,2579.4,14.5,363.15,1325.71,-0.02,86.15,1
1912.8,2579.7,14.55,363.64,1325.52,-0.01,86.86,1
1923.6,2571.9,14.6,364.05,1325.43,-0.01,86.93,1
1934.8,2570.2,14.57,364.58,1325.07,0.03,87.27,1
1945.0,2581.0,14.5,365.04,1324.63,-0.01,86.95,1
1958.0,2578.8,14.61,365.5,1325.09,0.04,87.22,1
1970.9,2584.0,14.61,365.94,1325.22,-0.03,87.37,1
1984.2,2580.0,14.56,366.27,1325.88,0.05,88.7,1
1998.9,2580.1,14.59,366.75,1327.13,0.01,87.79,1
2015.3,2579.2,14.33,367.13,1326.67,0.01,86.71,1
2033.2,2578.2,14.42,367.57,1325.61,-0.04,87.4,1
2047.2,2581.5,14.57,367.9,1325.28,0.06,86.25,1
2065.6,2578.2,14.47,368.33,1325.08,-0.06,86.58,1
2083.3,2574.1,14.51,368.74,1324.99,-0.03,86.87,1
2100.3,2570.3,14.56,369.08,1325.11,-0.08,85.65,1
2116.2,2571.3,14.56,369.45,1324.45,-0.04,85.66,1
2129.0,2562.6,14.43,369.77,1324.37,-0.02,85.3,1
2144.9,2562.2,14.39,370.11,1324.57,-0.03,83.81,1
2159.6,2563.1,14.31,370.34,1324.05,-0.0,83.6,1
2176.0,2556.6,14.49,370.73,1323.44,-0.01,83.77,1
2192.0,2558.0,14.48,371.05,1322.52,-0.01,83.07,1
2207.9,2561.0,14.44,371.36,1321.3,-0.01,82.68,1
2225.2,2547.6,14.42,371.68,1320.11,-0.06,81.31,1
2240.1,2548.5,14.33,371.84,1319.21,0.02,81.49,1
2256.3,2545.0,14.36,372.15,1318.41,-0.05,80.73,1
2271.3,2543.8,14.36,372.47,1317.38,-0.04,80.73,1
2286.1,2545.1,14.31,372.75,1316.16,-0.03,80.49,1
2300.0,2544.8,14.29,372.98,1315.63,-0.02,80.37,1
