window_start,decision_score,is_anomaly
0,-3.5321782333831746,1
25,-3.057285126273452,1
50,-2.262807090998164,1
75,-1.3297642568961012,1
100,-0.5636585468406032,1
125,-0.0787323630794372,1
150,0.1804103409093254,0
175,0.298127486097719,0
200,0.36024255882923883,0
225,0.4526243738824607,0
250,0.5357852459463088,0
275,0.5933238071576068,0
300,0.643768424044048,0
325,0.6801189449921865,0
350,0.6753483710151609,0
375,0.7073659190489647,0
400,0.6777923386249749,0
425,0.7063381974295653,0
450,0.7176275773156511,0
475,0.6970342061306929,0
500,0.7066547868506077,0
525,0.7009956570707065,0
550,0.6583068133633767,0
575,0.46721536409070596,0
600,0.3378992244975465,0
625,0.3935106586842605,0
650,0.09018007828156938,0
675,0.4527954325862047,0
700,0.6279592912564307,0
725,0.4594971962921801,0
750,0.345493201746224,0
775,0.40905994245232646,0
800,0.5227295768875204,0
825,0.4703507128075164,0
850,0.5862827141461096,0
875,0.5646202788173862,0
900,-0.010970615864935418,1
925,0.43849920026858635,0
950,0.22226234751268636,0
975,0.5576334709015431,0
1000,0.26820916210394463,0
1025,0.1918618595133208,0
1050,0.36002706065233214,0
1075,0.26933880344601,0
1100,-0.052475560190569315,1
1125,0.28239388998767057,0
1150,0.0951978271219649,0
1175,-0.48169606679275123,1
1200,-0.8018639847031754,1
1225,-1.2038277074674513,1
1250,-1.6362289467692963,1
1275,-1.9734564994058128,1
1300,-2.2046050285375043,1
1325,-2.3413187137257694,1
1350,-2.598557972329802,1
1375,-2.8173324959698443,1
1400,-3.0175925116443993,1
1425,-3.1759333285567877,1
1450,-3.316776314232172,1
1475,-3.445577840911426,1
1500,-3.519248716196781,1
1525,-3.5172699974321793,1
1550,-3.487948711691627,1
1575,-3.4689468578324743,1
1600,-3.4651402776154816,1
1625,-3.448782703435784,1
1650,-3.4493316539857153,1
1675,-3.4422085697415095,1
1700,-3.4423750099558093,1
1725,-3.4624170644207686,1
1750,-3.4678360197206124,1
1775,-3.4736362112004975,1
1800,-3.481342854490865,1
1825,-3.492863328978782,1
1850,-3.491492399437585,1
1875,-3.48595449894955,1
1900,-3.4815525421224645,1
1925,-3.4868974144148552,1
1950,-3.4813088688746388,1
1975,-3.4934448388593258,1
2000,-3.4984899568488257,1
2025,-3.489174974333132,1
2050,-3.4955248909824146,1
2075,-3.4977732502716847,1
2100,-3.5161059706974616,1
2125,-3.4953489309769004,1
2150,-3.4805997368899946,1
2175,-3.501666363284672,1
2200,-3.502672448864697,1
2225,-3.507646808682166,1
2250,-3.5055936496891835,1
2275,-3.500681643634679,1
2300,-3.500046195145107,1
2325,-3.5064032775582463,1
2350,-3.5021686144972493,1
2375,-3.504230384698526,1
2400,-3.500834329288576,1
2425,-3.4838407935320754,1
2450,-3.498766813487664,1
2475,-3.4995169706927407,1
2500,-3.5099070091037934,1
2525,-3.502994252706701,1
2550,-3.518813170374722,1
2575,-3.503720612855331,1
2600,-3.501784543407029,1
2625,-3.5042650932412993,1
2650,-3.4852381893619433,1
2675,-3.4927719281109266,1
2700,-3.532444372348252,1
2725,-3.522176833632238,1
2750,-3.510598429030617,1
2775,-3.519486442075948,1
2800,-3.504015375736037,1
2825,-3.5016811129210077,1
2850,-3.5076880684074743,1
2875,-3.5101799437191517,1
2900,-3.5068562820537124,1
2925,-3.49684215051149,1
2950,-3.505339715706719,1
2975,-3.502465636415763,1
3000,-3.504272178307032,1
3025,-3.51543932777024,1
3050,-3.5163655565079552,1
3075,-3.5107321413806902,1
3100,-3.519903377130323,1
3125,-3.5223151353014237,1
3150,-3.5219344222305176,1
3175,-3.519040789440719,1
3200,-3.5084730852795585,1
3225,-3.5199553126883143,1
3250,-3.512156218158406,1
3275,-3.496532695607176,1
3300,-3.4957124516620346,1
3325,-3.5039478330019214,1
3350,-3.5164354274834033,1
3375,-3.518857472688082,1
3400,-3.517735906100609,1
3425,-3.5250155581182843,1
3450,-3.5260225820652646,1
3475,-3.545941396271761,1
3500,-3.5222269430577304,1
3525,-3.539253933693304,1
3550,-3.5287356117381545,1
3575,-3.526475814531213,1
3600,-3.5041368361022767,1
3625,-3.5011604925177697,1
3650,-3.4995000780787793,1
3675,-3.5060879707541055,1
3700,-3.495996052396215,1
3725,-3.5041542514625665,1
3750,-3.506331202254865,1
3775,-3.505668728807272,1
3800,-3.4957290194965664,1
3825,-3.5022970451659994,1
3850,-3.499277235373253,1
3875,-3.5013462778262734,1
3900,-3.5061574928120915,1
3925,-3.498366655383723,1
3950,-3.492954233493585,1
3975,-3.486033997961977,1
4000,-3.497827512879014,1
4025,-3.4861940134260907,1
4050,-3.4943492203331648,1
4075,-3.4907800095932098,1
4100,-3.4825489585690557,1
4125,-3.479045079103776,1
4150,-3.4523655399388335,1
4175,-3.3752985243168996,1
4200,-3.206506411320182,1
4225,-3.0766825313923065,1
4250,-3.02355260342571,1
4275,-2.898355337683224,1
4300,-2.9198529733328957,1
4325,-2.829954088821352,1
4350,-2.810947210073304,1
4375,-2.8367621128840335,1
4400,-2.64445416346151,1
4425,-2.3713108740399442,1
4450,-1.9918590750146545,1
4475,-2.251417249036618,1
4500,-1.922615593715459,1
4525,-1.7271921907830223,1
4550,-1.736504795532345,1
4575,-1.6025225830977403,1
4600,-1.7173003423510762,1
4625,-2.4644556103576645,1
4650,-2.0477666587706196,1
4675,-1.8672010478383054,1
4700,-1.7932356901007478,1
4725,-1.9145464536349244,1
4750,-1.7577507033237492,1
4775,-1.5141593800765194,1
4800,-1.5880043904721393,1
4825,-1.6566350657467503,1
4850,-1.7377703211626665,1
4875,-1.615004766495392,1
4900,-1.5238343207563037,1
4925,-1.5528300161908661,1
4950,-1.552155088307769,1
4975,-1.7674229776102504,1
5000,-1.565229725279607,1
5025,-1.5314555180310787,1
5050,-1.5577019645069154,1
5075,-1.5034681770240512,1
5100,-1.3994974549245796,1
5125,-1.4675023210027351,1
5150,-1.5115867871131754,1
5175,-1.4616396558103473,1
5200,-1.5391157241376714,1
5225,-1.7564029241498815,1
5250,-1.6761946700597559,1
5275,-1.5376316095667226,1
5300,-1.6060083479608536,1
5325,-1.5307995482676273,1
5350,-1.3338494153870526,1
5375,-1.4787524753012886,1
5400,-1.5237983866276377,1
5425,-1.640520163793024,1
5450,-1.5646616813583107,1
5475,-1.5537265413510362,1
5500,-1.6949990672783168,1
5525,-1.8823152379434114,1
5550,-1.5659001705699787,1
5575,-1.5662977920415986,1
5600,-1.5195061645226513,1
5625,-1.6229941459029975,1
5650,-1.8912459931830778,1
5675,-1.6729430128931186,1
5700,-1.5572765888169262,1
5725,-1.5211399357179283,1
5750,-1.4717001913394383,1
5775,-1.7507709455289522,1
5800,-1.6566985671718935,1
5825,-1.4154484982926507,1
