flight_id,subseq_id,window_idx,top1_feature,top1_z,top2_feature,top2_z,top3_feature,top3_z,top4_feature,top4_z,top5_feature,top5_z
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,0,Longitude__q75,20717745295.710957,Latitude__q75,8181243551.246456,HDG__mean,1884.6467217886159,HDG__q75,1810.9851478827015,HDG__q25,1702.8383456860308
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,1,Longitude__q75,20717745295.710957,Latitude__q75,8181243551.246456,HDG__mean,1884.7164230975368,HDG__q75,1810.9851478827015,HDG__q25,1702.8383456860308
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,2,Longitude__q75,20717745295.710957,Latitude__q75,8181243551.246456,HDG__mean,1884.751273751997,HDG__q75,1810.9851478827015,HDG__q25,1702.8383456860308
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,3,Longitude__q75,20717745295.710957,Latitude__q75,8181243551.246456,HDG__mean,1884.786124406458,HDG__q75,1810.9851478827015,HDG__q25,1702.8383456860308
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,4,Longitude__q75,20717745295.710957,Latitude__q75,8181243551.246456,HDG__mean,1884.786124406458,HDG__q75,1810.9851478827015,HDG__q25,1702.8383456860308
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,5,Longitude__q75,20717745295.710957,Latitude__q75,8181243551.246456,HDG__mean,1884.8558257153784,HDG__q75,1811.7388387430303,HDG__q25,1702.8383456860308
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,6,Longitude__q75,20717745295.710957,Latitude__q75,8181243551.246456,HDG__mean,1884.9603776787608,HDG__q75,1811.9900690298061,HDG__q25,1702.8383456860308
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,7,Longitude__q75,20849198680.274544,Latitude__q75,8181243551.246456,HDG__mean,1885.030078987682,HDG__q75,1811.9900690298061,HDG__q25,1702.8383456860308
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,8,Longitude__q75,20849198680.274544,Latitude__q75,8181243551.246456,HDG__mean,1885.134630951064,HDG__q75,1811.9900690298061,HDG__q25,1702.8383456860308
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,9,Longitude__q75,20849198680.274544,Latitude__q75,8575603705.428816,HDG__mean,1885.2391829144462,HDG__q75,1811.9900690298061,HDG__q25,1702.8383456860308
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,10,Longitude__q75,20849198680.274544,Latitude__q75,8575603705.428816,HDG__mean,1885.413436186749,HDG__q75,1811.9900690298061,HDG__q25,1703.7828147368148
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,11,Longitude__q75,20849198680.274544,Latitude__q75,8575603705.428816,HDG__mean,1885.622540113513,HDG__q75,1811.9900690298061,HDG__q25,1703.7828147368148
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,12,Longitude__q75,20750608641.913303,Latitude__q75,8575603705.428816,HDG__mean,1885.7270920768954,HDG__q75,1811.9900690298061,HDG__q25,1703.7828147368148
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,13,Longitude__q75,20717745295.710957,Latitude__q75,8575603705.428816,HDG__mean,1885.901345349198,HDG__q75,1812.9949901769103,HDG__q25,1703.7828147368148
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,14,Longitude__q75,20717745295.710957,Latitude__q75,8575603705.428816,HDG__mean,1886.0058973125797,HDG__q75,1812.9949901769103,HDG__q25,1703.7828147368148
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,15,Longitude__q75,20717745295.710957,Latitude__q75,8575603705.428816,HDG__mean,1886.1104492759607,HDG__q75,1812.9949901769103,HDG__q25,1703.7828147368148
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,16,COM1__std,6.1154128792486e+28,COM1__mean,1652776474901.521,Longitude__q75,20717745295.710957,Latitude__q75,8575603705.428816,HDG__mean,1886.145299930422
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,17,COM1__std,8.498079666010855e+28,COM1__mean,3305552949803.042,Longitude__q75,20717745295.710957,Latitude__q75,8575603705.428816,HDG__mean,1886.1104492759607
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,18,COM1__std,8.498079666010857e+28,COM1__mean,3305552949803.042,Longitude__q75,20717745295.710957,Latitude__q75,8575603705.428816,HDG__mean,1886.1104492759607
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,19,COM1__std,8.498079666010857e+28,COM1__mean,3305552949803.042,Longitude__q75,20717745295.710957,Latitude__q75,8444150320.61943,HDG__mean,1886.1104492759614
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,20,COM1__std,8.498079666010857e+28,COM1__mean,3305552949803.042,Longitude__q75,20717745295.710957,Latitude__q75,8575603705.428816,HDG__mean,1886.0755986215001
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,21,COM1__std,8.498079666010857e+28,COM1__mean,3305552949803.042,Longitude__q75,20717745295.710957,Latitude__q75,8477013666.821776,HDG__mean,1886.0058973125786
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,22,COM1__std,6.115412879248601e+28,COM1__mean,1652776474901.521,Longitude__q75,20717745295.710957,Latitude__q75,8444150320.61943,HDG__mean,1885.9361960036574
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,23,Longitude__q75,20717745295.710957,Latitude__q75,8444150320.61943,HDG__mean,1885.8664946947374,HDG__q75,1812.7437598901345,HDG__q25,1703.7828147368148
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,24,Longitude__q75,20717745295.710957,Latitude__q75,8444150320.61943,HDG__mean,1885.7619427313552,HDG__q75,1811.9900690298061,HDG__q25,1703.7828147368148
