window_stem,path,mean_abs_z,top1_feature,top1_z,top2_feature,top2_z,top3_feature,top3_z
window_24150,exact_data/anomaly/window_24150.csv,1.2367798587679368,IAS__std,2.233267456023873,E1 EGT1__std,2.1393234683552103,IAS__mean,1.9898210392625528
window_24750,exact_data/anomaly/window_24750.csv,1.205295147830136,E1 RPM__std,2.2520038538760034,E1 EGT1__mean,2.1891486907094793,IAS__mean,2.166985972091987
window_14800,exact_data/anomaly/window_14800.csv,1.097022567468764,E1 RPM__mean,2.4010195474881004,E1 EGT1__std,2.268667271336802,E1 EGT1__min,2.094762069738167
window_15625,exact_data/anomaly/window_15625.csv,1.0782834908241092,IAS__std,2.2566905327889613,E1 RPM__std,2.0365015445260504,IAS__min,1.8432742773537598
window_5075,exact_data/anomaly/window_5075.csv,1.0665294106379166,E1 RPM__std,2.030704141804705,IAS__std,2.0115901202557076,E1 RPM__mean,1.965652096156878
window_5525,exact_data/anomaly/window_5525.csv,1.0602645160956492,E1 RPM__std,2.1532056022368344,IAS__std,2.0814518797856043,E1 FFlow__std,1.9967673692547852
window_17800,exact_data/anomaly/window_17800.csv,1.0311635445675436,E1 RPM__std,1.9862642936708672,E1 FFlow__std,1.9751132575156432,IAS__min,1.8253109266578846
window_18850,exact_data/anomaly/window_18850.csv,1.0027308531810881,E1 RPM__mean,2.049657031237442,IAS__min,1.8400569608112154,E1 RPM__min,1.631633901675405
window_1150,exact_data/anomaly/window_1150.csv,0.992075718952426,IAS__mean,2.2547967484246256,IAS__max,2.1310263148209114,E1 EGT1__max,1.8336501431073964
window_9100,exact_data/anomaly/window_9100.csv,0.9692105879439261,AltMSL__std,3.14263190257924,E1 FFlow__max,2.0982931655497707,E1 RPM__max,1.9188260945862599
window_18050,exact_data/anomaly/window_18050.csv,0.96327865655089,E1 RPM__std,2.158994234175221,E1 FFlow__std,2.0162792135574583,E1 RPM__min,1.7636354153658524
window_21125,exact_data/anomaly/window_21125.csv,0.9265923146476917,IAS__mean,2.160672144147715,E1 FFlow__std,1.8801285288538958,IAS__max,1.8463717113042073
window_16325,exact_data/anomaly/window_16325.csv,0.9183578263896515,E1 RPM__mean,2.380772909633214,E1 EGT1__std,1.9195694829047802,E1 RPM__min,1.7370608532037493
window_3150,exact_data/anomaly/window_3150.csv,0.9132812942442724,NormAc__mean,4.427097995606595,NormAc__max,3.65415636820559,AltMSL__min,1.7459970492521726
window_25600,exact_data/anomaly/window_25600.csv,0.9034423857468976,E1 EGT1__std,3.518820380148506,E1 EGT1__min,1.976259179094847,E1 FFlow__mean,1.9344183651169342
window_9800,exact_data/anomaly/window_9800.csv,0.8882518501414362,E1 CHT1__std,3.035847631058474,E1 FFlow__min,2.3834042409688574,E1 FFlow__mean,2.1620383788703212
window_9050,exact_data/anomaly/window_9050.csv,0.8779326730315017,AltMSL__std,2.8668116243432165,E1 FFlow__max,2.109035143933101,E1 CHT1__std,2.098027450006863
window_19350,exact_data/anomaly/window_19350.csv,0.8633324396041114,E1 RPM__mean,1.9299898527410175,E1 FFlow__std,1.6968673892413806,E1 RPM__std,1.6730983996187396
window_24475,exact_data/anomaly/window_24475.csv,0.8552377934954839,IAS__std,2.398013026941235,E1 FFlow__mean,2.002078855884408,IAS__min,1.8167314158777652
window_24650,exact_data/anomaly/window_24650.csv,0.8300319321182538,E1 RPM__max,4.723151777321038,E1 FFlow__max,2.307761744024711,E1 FFlow__mean,1.9129837890368215
window_15925,exact_data/anomaly/window_15925.csv,0.8277292175722016,E1 FFlow__std,1.7567093280177917,E1 RPM__std,1.596191201679029,E1 EGT1__max,1.4951899852711292
window_6850,exact_data/anomaly/window_6850.csv,0.8162668106146115,IAS__std,3.0349693500452095,IAS__min,1.8167314158777652,E1 FFlow__mean,1.3895405225303494
