prototype_id,n,n_anom,mean_violation,anom_rate
41,15,15,0.0,1.0
45,4,4,0.0,1.0
35,2,2,0.0,1.0
36,2,2,0.0,1.0
38,1,1,0.0,1.0
39,10,10,0.0,1.0
40,68,68,0.0,1.0
1,4,4,0.0,1.0
42,3,3,0.0,1.0
43,2,2,0.0,1.0
44,8,8,0.0,1.0
46,4,4,0.0,1.0
81,2,2,0.0,1.0
49,8,8,0.0,1.0
51,4,4,0.0,1.0
52,4,4,0.0,1.0
87,1,1,0.0,1.0
85,6,6,0.0,1.0
60,129,129,0.0,1.0
61,1,1,0.0,1.0
82,1,1,0.0,1.0
73,1,1,0.0,1.0
34,3,3,0.0,1.0
33,1,1,0.0,1.0
31,3,3,0.0,1.0
13,2,2,0.0,1.0
2,3,3,0.0,1.0
98,2,2,0.0,1.0
97,13,13,0.0,1.0
95,5,5,0.0,1.0
6,2,2,0.0,1.0
7,2,2,0.0,1.0
8,2,2,0.0,1.0
11,3,3,0.0,1.0
30,3,3,0.0,1.0
94,2,2,0.0,1.0
16,1,1,0.0,1.0
91,4,4,0.0,1.0
19,1,1,0.0,1.0
23,1,1,0.0,1.0
24,1,1,0.0,1.0
25,1,1,0.0,1.0
27,1,1,0.0,1.0
28,1,1,0.0,1.0
80,17,17,0.0,1.0
90,456,455,455.79053,0.9978070175438597
50,102,101,164.90793,0.9901960784313726
70,41,40,226.76927,0.975609756097561
9,19,17,51.634632,0.8947368421052632
99,9,8,59.991074,0.8888888888888888
55,7,6,66.08665,0.8571428571428571
0,13,11,38.804653,0.8461538461538461
29,6,5,47.996002,0.8333333333333334
54,5,4,57.681725,0.8
12,4,3,36.172874,0.75
96,12,9,20.93242,0.75
3,4,3,27.651785,0.75
5,4,2,28.376076,0.5
4,2,1,15.043625,0.5
67,1,0,0.0,0.0
89,1,0,0.0,0.0
18,1,0,0.0,0.0
